x,y,size,angle,response,octave,class_id,descriptor
65,161,70.0,299.2456970214844,93.0,0,-1,0011000001011001010000010110000000000101001000000000101110000101101001001010001000100101011010000010010010100001000011110011000010010000111000001001011001101000111011100000111010011100001001000000110011000000011110011001110111001010110001101000100100000000
208,84,70.0,302.93096923828125,92.0,0,-1,1000001001100101000100010000010101011100001000000011000110010011100011101011101000100101011000101101000110100011001100110111000111110000010000001011001010101111000101101001000000001001011000100011000010110000110110011011100101001010110100111010100100010000
295,170,70.0,102.29154205322266,93.0,0,-1,0011000001011001000010100100110100000010101001110001110000010000100000100101001010100011100010010000100111100001100010100001100101100100001000000111011000001000000000011000101001011100011101001001010011100001011000010000010111100001011000111110001011000010
163,264,70.0,244.42489624023438,93.0,0,-1,1000000000100111110000010010100011011011000110000111011110001000111010001010011010101100010001101001000000111000010111111100011110001010000010010001000000001010011001100001011001111011000000111010111000100101011111000111110010111110000001111010010100001000
307,69,70.0,44.51223373413086,92.0,0,-1,1001100001001100010000010110110010001010000110000101011110000101111011001010011010011100110100000111000110111001000100100001011111010110010000100011111000111001001011000011011011001001001000011001110010101010010110011010000001011010110101001001110000010010
322,527,70.0,39.550537109375,93.0,0,-1,0000010000111111010001100011100000001101011110000101000110001100010011001110011001100000000010000110000110111101010111000011000111110000010000010011110010101000000000101001110000010111001000000001000001100010010110011011000010101010010110110010110010000001
383,145,70.0,314.9154052734375,93.0,0,-1,0011101110100001010100011000010011010101001000011001000100000111100011101011101010000111001001110011001000000001100000111111000100010000101100101101011000100011110010101000010011001100011100010101010100101000101010100001011110110100011100100010000101100100
260,305,70.0,159.68544006347656,92.0,0,-1,1001000000001111100001101010100001001111110010000101111011001001111010101011101001010100101100111100001000111011100001111100011110101000000010001101010110000001011000111100000001111111000010001010011000011001001110000111010111111000010001110111100100001110
176,308,70.0,21.088525772094727,92.0,0,-1,0011000011110111010001010111000011110101001100010010010111100011101011000000001000000100001000001000110100110011001011110001010110101010011101010011110010001000000011100101001001110100100011101011001001100110111100111000010110011010100011011000011110011111
515,408,70.0,236.49729919433594,94.0,0,-1,1100000011111001011001010100001000111111110111101111011000110000000100001010001001011101100010011110000000000110100111101111100111001111001011001101100000111100000000111111100000000010011111101010000110010011111011011011000111110101001011010010101000010100
197,425,70.0,96.19115447998047,93.0,0,-1,1100001000001111100011101110000010101011000100010001110010101000011000110111110000001000011101011111000100000011010110011000001111100000001011011011000110000000101001010011100000110111000110001001111001111101100100000101110100101101011111110111000100010011
269,255,70.0,256.51165771484375,93.0,0,-1,0001000000000011010000101010100001010001101000000001110110001000111000100010101001000100100100011101001000111101100010111111010110010100000000000011010010000000011000110000010001011111001001000011111101001011011110000101110110111000010001000111010100000011
369,67,70.0,129.95806884765625,93.0,0,-1,0000100101110110110001000101010011001000011011010111110000111100000010001111011010101010010001111000000010010000111110110000011001101111000010110101000100001110111001011101001000101001010010001100010000000101010101011100100110000110000010010001010011100010
510,253,70.0,278.689453125,92.0,0,-1,0100001111001001101000011111101010001101110001010000110010101010001110000011000111100101001011000100100000001010010011111011010010010100001101011100101111001000111011110101000000001100001010001011111000010111010000011001101100100001100011111010101101000101
105,182,70.0,325.230712890625,92.0,0,-1,0010010011110111011101110011101000111101101010001010110010000111010111001000010101000101110100001100111101111110001110100101010111110010111110000010001111010010001101101001101001010101100100101011000010110010010110100000110011110010111001111011101010000010
475,58,70.0,72.96795654296875,93.0,0,-1,0101001101011110100010001000111000001001010101010001001101011001100001101101110001000000111000010000000100010001000101111100011111100000101000011011100110010101110000001010100011001001010101000101101010100110100000000111111100101100011100111110000011011010
436,238,70.0,321.1406555175781,93.0,0,-1,1011111110001000001010010000101110110010000101011000000010010010010111110101000111011011110011000000110001001001000100000111100000000010111001001000101101111001000111100001100000001100101001000111100111100000010000101011111000000010010110101000100010100010
313,41,70.0,308.76129150390625,92.0,0,-1,0011000000101001100100011001110001011101011010000101101111011001010010101011101000000101100000111101000100101011000010110011000110110010100010011001001100110111011001101000000001001111011000000011100000111000000110000011000111101010010000111010000100000110
520,89,70.0,26.182558059692383,92.0,0,-1,0000000010111111010001111010101000111001011111000001011111100000010000001011111101100101001000101000000100111000010111001111010110110010101011100001100010000000011010100000110000111111001000000010000001100110010110001011000110101011000010111010110111000101
310,315,70.0,78.10624694824219,92.0,0,-1,1001000001100011110010101010100001000011101000010001111010001000101010100011101001001100111100111101001000110100100000111100011110110110000010010101000110000000011001010110001001011101000000001011111001011001011110010101110100111000110001100011100100000110
150,192,70.0,181.8078155517578,93.0,0,-1,0000000000101011010100000111100010101101000110010001100110101010001000100110000000001001110100001100010100000011011110010010000111010110111001011001110000110000100001100000100000010110101101000011111001110100100000001001110100101011110011101111010100100111
48,317,70.0,154.4668426513672,93.0,0,-1,1000000011100111110100101011000001001101001000000001110010001000100010101010101000100100101000011101000000110111111110111001011110100000001000011101000110001100001000111010000000010111010001011011000000101010011110001110110110101000010100101010000110010011
59,480,70.0,245.66285705566406,92.0,0,-1,1000000100000110100100111010100111001001001010000011011011000000111000111011101010101100001001101101001000111100111110101100011110000000000010000011010110000111001011101000010001011001010000110111111010011101001110010101010110111000010101101110010101100000
