x,y,size,angle,response,octave,class_id,descriptor
379,116,70.0,107.05150604248047,92.0,0,-1,0011000001101101001000100000101000000110011111000101001011010001110100101010001101110101100010111010100010011101000000000101000010110100001011100100101001111001001010000000110010011101001000011001100011110010001100011011010001101101011000001000100011000110
516,219,70.0,358.5299072265625,91.0,0,-1,0000000001001111110000010001110001011010011100000001010101010000110000001110001010000000111000110000000000111000110100111001011010000100000010010110000000000100000000111011011000100011010001011000101000000001011000011000000010001000010101011000010111000010
465,274,70.0,121.22566223144531,91.0,0,-1,0011001000010001101100111000101000010100100101001111000111100011010100111011101101000101111110001101111110101101001000101111000110111010101001000010111101101101010111101001100001001000011000110000100110111010010001000011011001111011000101111110100100001100
460,246,70.0,220.30422973632812,91.0,0,-1,0100001010110111110101101001011001001101011001000011110000101011110000001000101001000111101000001100001100010011111110111101111111100010101101001001010100010111110010111111100001100110110110101001010000001000111011100111110111110100111000100110000101010100
136,438,70.0,125.8261947631836,91.0,0,-1,0000010001101111110101100111110000001101011010000101100001000110110011101011011000110100111000001110000101110110110110100001111111110010111110011001000100000110101001011011001000000111110000000001010001010010010110111100100110101110111000101110011000010001
501,438,70.0,211.07337951660156,91.0,0,-1,0011111100001001100100011101110011000001000010100001000100000110110010111010010001011101110001100011000001001000110000101010000111010110100010111101101100000011101011111001010010000101011000011111111001100000100110100100111110100100011000001000010100100000
496,440,70.0,233.646484375,91.0,0,-1,0111010110011000010100101001101000000101001101101001000101000010110000001000000101000111110000000001011101001100111100100011100111110000111100100001111101100010000011001010100010000100111100010101100100100110100010101110011011110000111100001100010001110001
394,277,70.0,53.201602935791016,91.0,0,-1,0110111001000001101100010100010011000011100100111000000001000101101111110001001010000011011111110011001001000001100000111001001010110110011100011000011000100011101001010010001011000000111100100101111000100001001111111001001101100000111000011010001001011111
355,475,70.0,284.4232177734375,93.0,0,-1,1111001101101011110010001111010111101010001001010000110010100101001110001010111010000000110111011000101010010011110010111010110001000110100101111110011001101100100011010011101010001111100101010011010001100100001000011010001110110001110010000000001001010011
460,63,70.0,240.5140380859375,94.0,0,-1,1100110010011111011100110010011001110011101110010011010111001100101011001101010001100100011000010101000100110111010101101001011110110000001000011011100010101000000000001011101000110001010000001011111100110111010110101111110100100000010110111110000100010001
499,462,70.0,110.11781311035156,92.0,0,-1,1001000100001000010000010000110001011111010110000101001111010000110010101010001001010001100010011001000000101111110100000001000110010000000000011001111000100101000010001010100000011010011010011011101011011000001110011011000100101000010101101010100110010010
465,191,70.0,121.97299194335938,91.0,0,-1,0001100101101001011000000111110010001000001000000000100010010100101011110111001010100000010011100010010011100010100010110010010000010100010010010111000010101100101001100001011010001111001000001001100011010101011100011001100010001010110010010100010011000011
234,245,70.0,21.866975784301758,94.0,0,-1,0011001101001000000100000100110000001111000110101101001101010100110011011111101010011001110010100111000001000101100101010001100111110000010000010111101010110000111000001011100000001000001100001000100111111001011110011011101001001000110100111010100010010000
195,442,70.0,108.8958969116211,92.0,0,-1,1101000010000110000000100011111001111000010001010111100000011011100001111011100000000111100111001000111111111011011100010010000001100000011111100111000000101101000001111010110100000110110001100111000000100101001000101110010001011001000110010101011111110011
141,308,70.0,352.2229919433594,91.0,0,-1,0011100010110001001100011000101100010110011000101111110011001000111110100111000111111000100000010101001010001101110000100101010100111100110010100101001110011001111100100100000111010000011110101000010000011011110111001001100001101100100000000101100000001110
465,177,70.0,126.05863952636719,91.0,0,-1,0100000010111111110010010001010011110010101001010100110000000000100100110100000010000010111011100100110010010001111010010000110000000000011111010110011001100100110001111000111010000110110100011110111000000001101011111001100010000111010011110100011101101011
326,74,70.0,251.06947326660156,92.0,0,-1,1000000011111111110001110011101001111000000001000001010000110000100000001010101010000000011010111000110000110011111110110000010000100010001011010110000100100000001011101100101000110111010011011011000001000011011000010001010010001011000011110000011111000100
104,144,70.0,6.00867223739624,91.0,0,-1,0001110010101000010110110100000011110011001101110011000001011110100010110011001011000011100110100000111001100100101100110101000110101100111111001001100000010001011000101000100011011100111101001001011000110000010000100001110010010000111010001101010111000010
481,108,70.0,353.6741943359375,92.0,0,-1,0000001010101001001000011011101000101011010010000001110011101000011110001000100111011101110010010100100000101110010111101010010110010100001101010101111111100000001011110000110000010100001010011011111001011011000110000100011100101000100011001010110000000100
359,193,70.0,115.1374740600586,93.0,0,-1,0010001001000000001110110001010101011110010110111111000101000111100011011010001000111111101110000111000110000101000001000011000111111011110000011011111000110100000010001010100101000000011100100010101100000010110110110011001001101000101101101010101100010111
110,325,70.0,175.2599639892578,93.0,0,-1,0000000010111111000001001011110001111011000101000101110010111000111000111110110000000000110010111100000100111010010110110000010110000110001011010001000000000000001001100001111000100111001000001011101001011000010100001011100000101011010011100110010110100011
408,374,70.0,133.60714721679688,93.0,0,-1,1000000000101011111011011011000110111000011011010110110011001000011110101110110111111000001011010000100010011001010111001100011000111110000001111100110101111000011010100110000100100001000010111010011000001010100101001011101010100000000010100000110100001101
172,475,70.0,235.4345245361328,93.0,0,-1,1111110011101100011111110000001001010110101100000000011110110011000111000000011101000111011110011101100101110111101000101101011010110010011101000100101011001100011101001011101011011100100000001011000010110011010000111010011101011000110000011001101110010110
