x,y,size,angle,response,octave,class_id,descriptor
441,142,70.0,95.4893569946289,96.0,0,-1,0011010001111001001011100111000001010101000010010111101111000111111011101010001000010001100110100110000000110101101011010011010111111010111110011101001000000000111000110100001010011101101101101001000000010010000110111011010111101010111000100000110000011111
430,270,70.0,183.91200256347656,97.0,0,-1,1010010001111101011101010000010000011101111010001110001111000101100101001010001100010001101100000110011100110101001101001101010111011010110100001010011001111011000100011110101001001001100101101001100110000000001110000011000101111010110100111011100010010110
109,421,70.0,74.11775207519531,97.0,0,-1,1011001100101010110000101111000010000001000101010000100110001100111011001110100011100100100101101111000000100010010000011010001010010000100000111101110100001100101010001010000001010111010001010101110001100010001110010100111100101000011111001010000011010010
521,222,70.0,187.6525115966797,99.0,0,-1,0011100010011111100101101001010011000011001001000101011001001100110000101111001010110010100011100010010010010001111010100000011001100000101010001100011100100010000100111100000000101101010010011001011000000000000110101010010011110100110000100110010001000101
320,337,70.0,90.50318908691406,97.0,0,-1,1110011110100011010100001100011011100101001000111000000100100110100011110001000001000110010000101001001101000010110010001100000110010100101100101011010100100110100011010011000000000110010100010111111100100101111010101100011100100100111110010010000101110001
534,337,70.0,27.993133544921875,98.0,0,-1,0101101100110001011110111100101100000011001000100111011111010001110010100010001001000101100000110001001100111100100100101100011110011101000110001001001100111011001110111000000111011000010001111101010010011010001111000110011111111100010100001010100111010010
303,40,70.0,347.4010925292969,96.0,0,-1,0010010011000101000010110001110001011100001110101110000101010111110011111100001000110011110010000110010110000101001100000011000111111010010000011011111000110111000000001010110100000010101101100011100110100010101010110011000001001010000100100010001110010111
474,438,70.0,114.15120697021484,96.0,0,-1,0100010011101101011110000011110001111011110100100010110111100100010110000000010100100100011010000100010001011000101110010001011111100110011011011011110001100010100101110110101000000100100101011001101111000011100110111000000000001110111110110010101100010100
263,181,70.0,117.45450592041016,98.0,0,-1,1101000010111010010111010010010001111111001110000101010010000001001100100001010101010100111110001101111100111101001100100101011110100000111101001001110011010001110101110011101011101111100001000011011010101010110000100011100101111001110111110101100100010011
549,222,70.0,4.020602226257324,98.0,0,-1,0011000001011001111000011001110001011101001000000001110111000001111010001010101000000101111110000100000100111001001000110011000110110010110001010011011000100000010011101000111011001101001001100011100000001000010110011001001111111010110001101101100110001111
153,444,70.0,253.39373779296875,98.0,0,-1,1010100100001000000110000100010010001101000100010100000100000110110001111010000000000011101001110011000101000010011000111001001111001000100100011001011000100111100010001011010000000011010100010110110001100100101110101010000100100100010101111110000001110000
301,426,70.0,206.03866577148438,98.0,0,-1,0001000000111111010000010010010001111111001100000100010010010001010110001001111010000010111110000100010100111001001101100001111110100010010101011011010011000101000111111011101001101111100011001011001010111100010100110011000011011010110111111011100110010001
