x,y,size,angle,response,octave,class_id
62,32,70.0,10.9264554977417,95.0,0,-1
190,32,70.0,35.91922378540039,95.0,0,-1
297,32,70.0,324.2265625,95.0,0,-1
302,32,70.0,343.0572814941406,95.0,0,-1
310,32,70.0,340.4342346191406,95.0,0,-1
385,32,70.0,194.3385772705078,95.0,0,-1
435,32,70.0,227.0734100341797,95.0,0,-1
442,32,70.0,295.5668640136719,95.0,0,-1
447,32,70.0,316.0952453613281,95.0,0,-1
525,32,70.0,343.8951721191406,95.0,0,-1
542,32,70.0,126.11271667480469,95.0,0,-1
550,32,70.0,116.83676147460938,95.0,0,-1
567,32,70.0,344.27618408203125,95.0,0,-1
32,37,70.0,151.1127471923828,95.0,0,-1
70,37,70.0,15.42029094696045,95.0,0,-1
145,37,70.0,167.69573974609375,95.0,0,-1
152,37,70.0,138.57540893554688,95.0,0,-1
170,37,70.0,24.229089736938477,95.0,0,-1
277,37,70.0,76.71529388427734,95.0,0,-1
297,37,70.0,51.73126983642578,95.0,0,-1
302,37,70.0,45.14344024658203,95.0,0,-1
392,37,70.0,145.697265625,95.0,0,-1
442,37,70.0,305.4703674316406,95.0,0,-1
447,37,70.0,330.620361328125,95.0,0,-1
455,37,70.0,339.5295715332031,95.0,0,-1
517,37,70.0,42.2841682434082,95.0,0,-1
37,45,70.0,81.72216796875,95.0,0,-1
70,45,70.0,47.156700134277344,95.0,0,-1
215,45,70.0,79.70970153808594,95.0,0,-1
277,45,70.0,79.40914154052734,95.0,0,-1
297,45,70.0,71.93313598632812,95.0,0,-1
392,45,70.0,119.7817153930664,95.0,0,-1
397,45,70.0,102.72593688964844,95.0,0,-1
405,45,70.0,109.77703094482422,95.0,0,-1
410,45,70.0,133.50994873046875,95.0,0,-1
447,45,70.0,9.874446868896484,95.0,0,-1
455,45,70.0,356.5407409667969,95.0,0,-1
505,45,70.0,148.62493896484375,95.0,0,-1
512,45,70.0,107.38619232177734,95.0,0,-1
517,45,70.0,68.16273498535156,95.0,0,-1
45,50,70.0,34.54240417480469,95.0,0,-1
62,50,70.0,32.80574417114258,95.0,0,-1
207,50,70.0,196.75941467285156,95.0,0,-1
385,50,70.0,163.0070037841797,95.0,0,-1
392,50,70.0,117.10389709472656,95.0,0,-1
397,50,70.0,94.6099853515625,95.0,0,-1
405,50,70.0,118.97734069824219,95.0,0,-1
410,50,70.0,143.2525177001953,95.0,0,-1
