x,y,size,angle,response,octave,class_id
74,406,70.0,97.28311157226562,106.0,0,-1
323,88,70.0,323.80841064453125,105.0,0,-1
77,375,70.0,191.425048828125,108.0,0,-1
340,478,70.0,63.8856201171875,105.0,0,-1
389,339,70.0,161.8003387451172,106.0,0,-1
321,474,70.0,56.227256774902344,105.0,0,-1
121,186,70.0,204.3214569091797,105.0,0,-1
191,466,70.0,124.45738983154297,108.0,0,-1
467,223,70.0,324.26031494140625,109.0,0,-1
505,330,70.0,342.4972839355469,106.0,0,-1
238,455,70.0,316.3629455566406,105.0,0,-1
456,134,70.0,168.4266815185547,108.0,0,-1
494,134,70.0,325.3594970703125,105.0,0,-1
412,115,70.0,75.38876342773438,106.0,0,-1
63,359,70.0,138.6671142578125,106.0,0,-1
103,275,70.0,103.82344055175781,106.0,0,-1
273,188,70.0,60.02532196044922,107.0,0,-1
462,371,70.0,99.50908660888672,106.0,0,-1
237,448,70.0,334.4085998535156,106.0,0,-1
263,445,70.0,33.77248001098633,106.0,0,-1
454,213,70.0,328.0931701660156,106.0,0,-1
257,426,70.0,319.0524597167969,105.0,0,-1
209,352,70.0,92.92279815673828,106.0,0,-1
194,137,70.0,20.193147659301758,105.0,0,-1
229,169,70.0,162.9335479736328,106.0,0,-1
88,422,70.0,119.24906921386719,108.0,0,-1
273,139,70.0,232.95591735839844,106.0,0,-1
495,416,70.0,15.212843894958496,106.0,0,-1
374,413,70.0,39.11741256713867,107.0,0,-1
130,413,70.0,182.2641143798828,107.0,0,-1
205,323,70.0,144.17762756347656,107.0,0,-1
305,90,70.0,19.42914581298828,105.0,0,-1
198,166,70.0,64.7517318725586,105.0,0,-1
228,211,70.0,275.7626953125,107.0,0,-1
141,211,70.0,329.95953369140625,105.0,0,-1
379,265,70.0,257.9976806640625,107.0,0,-1
483,209,70.0,343.688232421875,108.0,0,-1
182,399,70.0,331.41412353515625,106.0,0,-1
435,369,70.0,173.03567504882812,105.0,0,-1
402,90,70.0,319.8157043457031,107.0,0,-1
295,362,70.0,109.89232635498047,107.0,0,-1
223,320,70.0,316.8416748046875,106.0,0,-1
374,204,70.0,44.10224151611328,105.0,0,-1
361,97,70.0,168.41574096679688,106.0,0,-1
66,385,70.0,218.25274658203125,106.0,0,-1
539,313,70.0,43.029136657714844,108.0,0,-1
45,361,70.0,182.03555297851562,107.0,0,-1
404,85,70.0,311.7881164550781,105.0,0,-1
88,384,70.0,323.0225524902344,105.0,0,-1
377,382,70.0,296.19793701171875,105.0,0,-1
108,277,70.0,106.72664642333984,105.0,0,-1
281,160,70.0,67.901611328125,106.0,0,-1
149,379,70.0,230.79141235351562,105.0,0,-1
261,378,70.0,27.707901000976562,106.0,0,-1
239,306,70.0,309.9820556640625,105.0,0,-1
259,123,70.0,230.1277618408203,109.0,0,-1
333,283,70.0,102.66619873046875,108.0,0,-1
225,241,70.0,27.918701171875,108.0,0,-1
338,125,70.0,166.93431091308594,105.0,0,-1
402,237,70.0,140.00762939453125,107.0,0,-1
85,282,70.0,199.01165771484375,105.0,0,-1
408,310,70.0,150.61212158203125,105.0,0,-1
374,535,70.0,140.46847534179688,105.0,0,-1
346,182,70.0,64.50035095214844,105.0,0,-1
369,128,70.0,43.99766159057617,105.0,0,-1
407,128,70.0,88.87135314941406,106.0,0,-1
397,507,70.0,257.47039794921875,105.0,0,-1
394,490,70.0,275.64013671875,105.0,0,-1
105,360,70.0,331.0293273925781,104.0,0,-1
99,357,70.0,346.8032531738281,104.0,0,-1
315,105,70.0,52.253456115722656,104.0,0,-1
485,279,70.0,339.03143310546875,104.0,0,-1
227,99,70.0,319.3638000488281,104.0,0,-1
515,272,70.0,209.50523376464844,104.0,0,-1
179,259,70.0,170.75930786132812,104.0,0,-1
386,296,70.0,180.83877563476562,104.0,0,-1
471,284,70.0,179.66146850585938,104.0,0,-1
431,256,70.0,145.19281005859375,104.0,0,-1
565,213,70.0,35.72413635253906,104.0,0,-1
187,315,70.0,57.117393493652344,104.0,0,-1
458,341,70.0,181.58865356445312,104.0,0,-1
182,302,70.0,265.88763427734375,104.0,0,-1
435,247,70.0,150.73281860351562,104.0,0,-1
396,485,70.0,262.2708740234375,104.0,0,-1
332,325,70.0,113.90556335449219,104.0,0,-1
211,49,70.0,140.59068298339844,104.0,0,-1
421,241,70.0,82.24969482421875,104.0,0,-1
311,449,70.0,255.8946990966797,104.0,0,-1
172,277,70.0,242.59121704101562,104.0,0,-1
206,222,70.0,199.8712615966797,104.0,0,-1
350,396,70.0,208.88546752929688,104.0,0,-1
142,233,70.0,6.468803882598877,104.0,0,-1
334,395,70.0,196.11973571777344,104.0,0,-1
437,227,70.0,93.16400146484375,104.0,0,-1
272,181,70.0,76.30781555175781,104.0,0,-1
94,222,70.0,190.94996643066406,104.0,0,-1
203,391,70.0,341.4106750488281,104.0,0,-1
270,145,70.0,157.30885314941406,104.0,0,-1
258,384,70.0,14.426162719726562,104.0,0,-1
275,151,70.0,140.60594177246094,104.0,0,-1
377,529,70.0,150.4684295654297,104.0,0,-1
316,89,70.0,350.3826904296875,104.0,0,-1
270,372,70.0,359.7154846191406,104.0,0,-1
556,251,70.0,348.41192626953125,103.0,0,-1
185,320,70.0,39.64366912841797,103.0,0,-1
298,380,70.0,152.5063934326172,103.0,0,-1
216,456,70.0,160.32850646972656,103.0,0,-1
127,210,70.0,346.0130920410156,103.0,0,-1
553,208,70.0,215.49957275390625,103.0,0,-1
238,246,70.0,65.52185821533203,103.0,0,-1
192,142,70.0,54.24727249145508,103.0,0,-1
115,263,70.0,258.7769470214844,103.0,0,-1
522,242,70.0,344.7912292480469,103.0,0,-1
309,103,70.0,45.12070083618164,103.0,0,-1
401,546,70.0,118.65060424804688,103.0,0,-1
290,276,70.0,205.29541015625,103.0,0,-1
350,50,70.0,286.49407958984375,103.0,0,-1
202,328,70.0,189.2545623779297,103.0,0,-1
380,408,70.0,30.49851417541504,103.0,0,-1
295,410,70.0,90.733154296875,103.0,0,-1
540,261,70.0,311.00372314453125,103.0,0,-1
163,385,70.0,273.2815246582031,103.0,0,-1
455,250,70.0,30.50191307067871,103.0,0,-1
338,189,70.0,35.694740295410156,103.0,0,-1
205,127,70.0,343.78863525390625,103.0,0,-1
270,357,70.0,66.0906982421875,103.0,0,-1
151,390,70.0,229.99948120117188,103.0,0,-1
122,293,70.0,94.26480102539062,103.0,0,-1
472,114,70.0,270.3877258300781,103.0,0,-1
506,352,70.0,59.80950164794922,103.0,0,-1
185,49,70.0,182.83053588867188,103.0,0,-1
321,76,70.0,357.0818786621094,103.0,0,-1
386,508,70.0,262.66778564453125,103.0,0,-1
385,129,70.0,114.00035858154297,103.0,0,-1
464,301,70.0,248.7862548828125,103.0,0,-1
127,184,70.0,217.7071990966797,103.0,0,-1
436,503,70.0,303.68853759765625,103.0,0,-1
408,497,70.0,300.20501708984375,103.0,0,-1
235,252,70.0,20.80083656311035,103.0,0,-1
350,221,70.0,98.73588562011719,103.0,0,-1
341,281,84.0,17.828489303588867,130.0,1,-1
239,306,84.0,278.8891296386719,131.0,1,-1
437,227,84.0,63.86701583862305,131.0,1,-1
