x,y,size,angle,response,octave,class_id
162,390,70.0,126.18317413330078,113.0,0,-1
256,210,70.0,256.7431945800781,107.0,0,-1
427,426,70.0,103.64453887939453,114.0,0,-1
428,422,70.0,109.11611938476562,109.0,0,-1
306,286,70.0,308.4023132324219,113.0,0,-1
258,415,70.0,310.0816955566406,107.0,0,-1
133,161,70.0,279.2511901855469,107.0,0,-1
423,404,70.0,216.19667053222656,110.0,0,-1
291,242,70.0,12.321211814880371,108.0,0,-1
162,240,70.0,299.73065185546875,107.0,0,-1
123,231,70.0,172.95957946777344,108.0,0,-1
384,404,70.0,323.0502624511719,106.0,0,-1
355,210,70.0,335.350830078125,113.0,0,-1
404,276,70.0,76.8050765991211,113.0,0,-1
163,302,70.0,322.65338134765625,116.0,0,-1
341,128,70.0,266.9388732910156,111.0,0,-1
363,271,70.0,297.61224365234375,108.0,0,-1
451,386,70.0,314.49517822265625,106.0,0,-1
308,299,70.0,68.24128723144531,107.0,0,-1
202,301,70.0,207.0240020751953,107.0,0,-1
334,266,70.0,226.69630432128906,108.0,0,-1
400,256,70.0,231.19436645507812,113.0,0,-1
207,287,70.0,222.4967498779297,106.0,0,-1
290,416,70.0,281.121826171875,110.0,0,-1
439,320,70.0,3.1764612197875977,113.0,0,-1
453,399,70.0,316.95477294921875,109.0,0,-1
252,377,70.0,108.51609802246094,117.0,0,-1
146,187,70.0,21.13738250732422,114.0,0,-1
415,343,70.0,70.30050659179688,106.0,0,-1
428,185,70.0,334.7261962890625,108.0,0,-1
400,154,70.0,136.750732421875,107.0,0,-1
404,279,70.0,78.17198181152344,109.0,0,-1
227,365,70.0,229.39581298828125,107.0,0,-1
239,349,70.0,348.54351806640625,111.0,0,-1
148,393,70.0,154.28244018554688,107.0,0,-1
316,366,70.0,71.78677368164062,112.0,0,-1
147,325,70.0,147.40213012695312,113.0,0,-1
346,156,70.0,69.82811737060547,112.0,0,-1
228,367,70.0,221.94595336914062,112.0,0,-1
269,140,70.0,292.57269287109375,107.0,0,-1
215,232,70.0,340.7146301269531,106.0,0,-1
314,338,70.0,188.01812744140625,108.0,0,-1
350,367,70.0,126.88397979736328,108.0,0,-1
181,160,70.0,253.5237579345703,111.0,0,-1
272,214,70.0,215.9398651123047,109.0,0,-1
257,212,70.0,257.31085205078125,107.0,0,-1
423,390,70.0,235.65576171875,109.0,0,-1
421,390,70.0,239.62530517578125,109.0,0,-1
265,223,70.0,225.53573608398438,115.0,0,-1
213,368,70.0,273.26202392578125,106.0,0,-1
115,170,70.0,215.37657165527344,115.0,0,-1
398,143,70.0,121.21737670898438,108.0,0,-1
445,352,70.0,358.95135498046875,106.0,0,-1
292,288,70.0,326.5885009765625,106.0,0,-1
306,428,70.0,130.99844360351562,113.0,0,-1
216,163,70.0,295.3004150390625,105.0,0,-1
408,207,70.0,138.49551391601562,105.0,0,-1
366,290,70.0,40.6319694519043,105.0,0,-1
414,118,70.0,301.1374816894531,105.0,0,-1
162,254,70.0,41.8454704284668,105.0,0,-1
271,169,70.0,34.38220977783203,105.0,0,-1
350,370,70.0,132.31080627441406,105.0,0,-1
402,120,70.0,277.28631591796875,105.0,0,-1
356,398,70.0,165.5113525390625,105.0,0,-1
251,173,70.0,94.54036712646484,105.0,0,-1
145,364,70.0,167.78843688964844,105.0,0,-1
356,409,70.0,236.67845153808594,105.0,0,-1
309,362,70.0,47.82704544067383,105.0,0,-1
224,250,70.0,36.98506546020508,105.0,0,-1
127,243,70.0,196.31369018554688,105.0,0,-1
437,318,70.0,0.6887582540512085,105.0,0,-1
286,214,70.0,318.8235778808594,105.0,0,-1
262,443,70.0,79.14820861816406,105.0,0,-1
159,372,70.0,194.15220642089844,103.0,0,-1
159,362,70.0,140.8087921142578,103.0,0,-1
326,406,70.0,261.3975524902344,104.0,0,-1
322,405,70.0,298.850341796875,103.0,0,-1
400,120,70.0,267.39324951171875,104.0,0,-1
353,291,70.0,120.00856018066406,104.0,0,-1
382,402,70.0,343.5318603515625,103.0,0,-1
321,146,70.0,200.5592041015625,103.0,0,-1
362,345,70.0,217.6207275390625,104.0,0,-1
294,410,70.0,267.5815734863281,103.0,0,-1
199,220,70.0,178.5035858154297,103.0,0,-1
358,331,70.0,217.28652954101562,103.0,0,-1
216,383,70.0,82.38129425048828,104.0,0,-1
367,330,70.0,310.65185546875,104.0,0,-1
342,130,70.0,265.04742431640625,104.0,0,-1
438,348,70.0,34.765682220458984,104.0,0,-1
286,204,70.0,318.2799987792969,103.0,0,-1
216,381,70.0,82.29779052734375,103.0,0,-1
135,175,70.0,299.3016357421875,103.0,0,-1
192,227,70.0,210.28636169433594,103.0,0,-1
185,183,70.0,86.38941192626953,104.0,0,-1
212,179,70.0,347.8389587402344,103.0,0,-1
161,431,70.0,172.0546875,104.0,0,-1
272,222,70.0,210.81402587890625,103.0,0,-1
384,396,70.0,4.195549011230469,104.0,0,-1
140,334,70.0,179.8330078125,103.0,0,-1
402,254,70.0,239.92723083496094,104.0,0,-1
255,415,70.0,307.8462829589844,104.0,0,-1
422,352,70.0,67.90083312988281,104.0,0,-1
398,140,70.0,137.32350158691406,103.0,0,-1
143,265,70.0,166.3135223388672,102.0,0,-1
271,305,70.0,117.45061492919922,102.0,0,-1
325,214,70.0,313.074462890625,102.0,0,-1
378,365,70.0,38.500186920166016,102.0,0,-1
216,255,70.0,32.96770477294922,102.0,0,-1
401,217,70.0,132.368896484375,102.0,0,-1
403,216,70.0,136.53428649902344,102.0,0,-1
164,254,70.0,30.22327423095703,102.0,0,-1
129,268,70.0,162.44834899902344,102.0,0,-1
365,285,70.0,52.72444534301758,102.0,0,-1
169,430,70.0,186.47579956054688,102.0,0,-1
419,132,70.0,342.4219970703125,102.0,0,-1
312,133,70.0,240.1781463623047,102.0,0,-1
259,443,70.0,77.52944946289062,102.0,0,-1
302,285,70.0,292.76275634765625,102.0,0,-1
409,209,84.0,122.49516296386719,137.0,1,-1
356,408,84.0,177.37876892089844,139.0,1,-1
414,118,84.0,304.2468566894531,133.0,1,-1
454,400,84.0,347.4411926269531,139.0,1,-1
119,200,84.0,160.1585235595703,135.0,1,-1
400,120,84.0,268.7235412597656,139.0,1,-1
402,120,84.0,275.09661865234375,135.0,1,-1
337,198,84.0,287.64569091796875,140.0,1,-1
325,406,84.0,249.70335388183594,138.0,1,-1
389,122,84.0,255.88525390625,132.0,1,-1
270,168,84.0,57.662071228027344,133.0,1,-1
119,198,84.0,160.03472900390625,134.0,1,-1
340,128,84.0,260.14654541015625,136.0,1,-1
136,312,84.0,168.07589721679688,136.0,1,-1
439,318,84.0,348.7242736816406,141.0,1,-1
420,322,84.0,340.0553894042969,135.0,1,-1
148,324,84.0,159.58151245117188,136.0,1,-1
312,338,84.0,282.8873291015625,134.0,1,-1
400,257,84.0,267.6409912109375,143.0,1,-1
253,436,84.0,44.638038635253906,137.0,1,-1
234,311,84.0,26.74770736694336,141.0,1,-1
292,288,84.0,60.55906677246094,137.0,1,-1
251,173,84.0,128.06280517578125,145.0,1,-1
223,250,84.0,71.35576629638672,140.0,1,-1
361,344,84.0,187.56393432617188,140.0,1,-1
290,242,84.0,29.80228042602539,132.0,1,-1
162,240,84.0,325.8165283203125,144.0,1,-1
422,350,84.0,95.81236267089844,133.0,1,-1
451,354,84.0,352.9101867675781,134.0,1,-1
202,301,84.0,154.99642944335938,137.0,1,-1
269,140,84.0,265.62957763671875,142.0,1,-1
206,287,84.0,205.24620056152344,134.0,1,-1
163,301,84.0,336.2960205078125,134.0,1,-1
306,427,84.0,32.37297058105469,135.0,1,-1
308,299,84.0,24.360553741455078,134.0,1,-1
404,276,84.0,158.38819885253906,144.0,1,-1
427,426,84.0,105.78170013427734,133.0,1,-1
236,427,84.0,224.02890014648438,137.0,1,-1
337,144,84.0,241.2266845703125,134.0,1,-1
282,234,84.0,74.51976776123047,133.0,1,-1
404,278,84.0,146.47702026367188,133.0,1,-1
164,253,84.0,27.350666046142578,143.0,1,-1
176,427,84.0,237.6680450439453,133.0,1,-1
158,361,84.0,145.29269409179688,133.0,1,-1
422,403,84.0,182.46241760253906,141.0,1,-1
122,232,84.0,175.25619506835938,137.0,1,-1
290,426,84.0,328.9931335449219,132.0,1,-1
240,364,84.0,350.71343994140625,132.0,1,-1
190,425,84.0,268.7867431640625,134.0,1,-1
378,365,84.0,38.177425384521484,137.0,1,-1
228,367,84.0,352.6552734375,140.0,1,-1
350,367,84.0,126.85054016113281,133.0,1,-1
212,368,84.0,167.807861328125,143.0,1,-1
229,282,84.0,304.6225280761719,145.0,1,-1
420,151,84.0,4.296496868133545,134.0,1,-1
350,370,84.0,128.5504150390625,135.0,1,-1
265,223,84.0,145.81756591796875,134.0,1,-1
160,371,84.0,169.12974548339844,140.0,1,-1
427,185,84.0,346.24505615234375,136.0,1,-1
145,187,84.0,13.388521194458008,139.0,1,-1
252,377,84.0,30.760936737060547,143.0,1,-1
401,216,84.0,148.4721221923828,132.0,1,-1
408,155,84.0,1.1000874042510986,135.0,1,-1
403,187,84.0,208.61695861816406,134.0,1,-1
346,156,84.0,64.83821868896484,142.0,1,-1
216,383,84.0,130.86630249023438,142.0,1,-1
325,214,84.0,102.58401489257812,146.0,1,-1
258,415,84.0,269.47613525390625,145.0,1,-1
272,214,84.0,279.01849365234375,141.0,1,-1
256,415,84.0,288.2549743652344,134.0,1,-1
450,384,84.0,313.9598388671875,140.0,1,-1
304,286,84.0,1.0943896770477295,135.0,1,-1
258,210,84.0,244.1943817138672,137.0,1,-1
256,210,84.0,248.47930908203125,142.0,1,-1
436,386,84.0,252.1631317138672,135.0,1,-1
354,209,84.0,16.370487213134766,136.0,1,-1
162,390,84.0,134.6522674560547,147.0,1,-1
421,390,84.0,221.26974487304688,132.0,1,-1
132,161,84.0,261.48046875,132.0,1,-1
306,286,84.0,4.043904781341553,136.0,1,-1
216,163,84.0,294.20306396484375,132.0,1,-1
355,400,84.0,144.6790008544922,133.0,1,-1
298,370,84.0,64.43772888183594,131.0,1,-1
272,167,84.0,51.17734909057617,131.0,1,-1
294,356,84.0,45.150569915771484,131.0,1,-1
239,349,84.0,298.10626220703125,131.0,1,-1
130,268,84.0,169.6154327392578,131.0,1,-1
376,296,84.0,306.2101135253906,131.0,1,-1
397,140,84.0,237.51171875,131.0,1,-1
383,402,84.0,337.4424743652344,131.0,1,-1
454,399,100.80000305175781,1.0285907983779907,164.0,2,-1
216,163,100.80000305175781,269.6039123535156,171.0,2,-1
272,215,100.80000305175781,340.1730651855469,162.0,2,-1
400,256,100.80000305175781,269.6216735839844,167.0,2,-1
265,223,100.80000305175781,44.71809387207031,166.0,2,-1
400,120,100.80000305175781,283.47271728515625,166.0,2,-1
376,297,100.80000305175781,297.87530517578125,163.0,2,-1
389,122,100.80000305175781,273.3509826660156,163.0,2,-1
346,156,100.80000305175781,273.0931091308594,174.0,2,-1
422,389,100.80000305175781,218.83792114257812,176.0,2,-1
367,330,100.80000305175781,251.10324096679688,169.0,2,-1
