x,y,size,angle,response,octave,class_id
379,116,70.0,107.05150604248047,92.0,0,-1
516,219,70.0,358.5299072265625,91.0,0,-1
465,274,70.0,121.22566223144531,91.0,0,-1
460,246,70.0,220.30422973632812,91.0,0,-1
136,438,70.0,125.8261947631836,91.0,0,-1
501,438,70.0,211.07337951660156,91.0,0,-1
496,440,70.0,233.646484375,91.0,0,-1
394,277,70.0,53.201602935791016,91.0,0,-1
355,475,70.0,284.4232177734375,93.0,0,-1
460,63,70.0,240.5140380859375,94.0,0,-1
499,462,70.0,110.11781311035156,92.0,0,-1
465,191,70.0,121.97299194335938,91.0,0,-1
234,245,70.0,21.866975784301758,94.0,0,-1
195,442,70.0,108.8958969116211,92.0,0,-1
141,308,70.0,352.2229919433594,91.0,0,-1
465,177,70.0,126.05863952636719,91.0,0,-1
326,74,70.0,251.06947326660156,92.0,0,-1
104,144,70.0,6.00867223739624,91.0,0,-1
481,108,70.0,353.6741943359375,92.0,0,-1
359,193,70.0,115.1374740600586,93.0,0,-1
110,325,70.0,175.2599639892578,93.0,0,-1
408,374,70.0,133.60714721679688,93.0,0,-1
172,475,70.0,235.4345245361328,93.0,0,-1
142,544,70.0,122.82249450683594,93.0,0,-1
223,241,70.0,62.12567901611328,94.0,0,-1
262,111,70.0,150.81129455566406,93.0,0,-1
293,142,70.0,38.5256233215332,91.0,0,-1
362,215,70.0,99.86280822753906,94.0,0,-1
302,380,70.0,158.27716064453125,94.0,0,-1
389,407,70.0,135.32583618164062,91.0,0,-1
374,171,70.0,294.89813232421875,93.0,0,-1
101,169,70.0,79.19779968261719,93.0,0,-1
148,197,70.0,285.753173828125,94.0,0,-1
510,283,70.0,15.080414772033691,91.0,0,-1
243,471,70.0,200.21923828125,92.0,0,-1
346,358,70.0,313.0792541503906,92.0,0,-1
413,358,70.0,46.37670135498047,94.0,0,-1
127,308,70.0,329.7055969238281,92.0,0,-1
485,197,70.0,146.19775390625,93.0,0,-1
408,360,70.0,155.04296875,91.0,0,-1
141,391,70.0,209.9141082763672,93.0,0,-1
265,133,70.0,113.76284790039062,92.0,0,-1
318,214,70.0,39.35947799682617,92.0,0,-1
351,390,70.0,51.82200622558594,91.0,0,-1
415,363,70.0,68.45927429199219,92.0,0,-1
282,91,70.0,279.4164123535156,93.0,0,-1
526,457,70.0,89.9096450805664,93.0,0,-1
518,325,70.0,2.299558639526367,92.0,0,-1
126,230,70.0,195.3822479248047,91.0,0,-1
513,327,70.0,6.067578315734863,91.0,0,-1
217,332,70.0,74.95549774169922,91.0,0,-1
387,497,70.0,68.27145385742188,92.0,0,-1
135,425,70.0,159.408935546875,93.0,0,-1
146,336,70.0,289.89892578125,93.0,0,-1
152,495,70.0,153.8940887451172,93.0,0,-1
419,338,70.0,267.274658203125,92.0,0,-1
115,352,70.0,152.3612823486328,93.0,0,-1
437,364,70.0,354.9647521972656,91.0,0,-1
494,252,70.0,45.6954460144043,93.0,0,-1
250,250,70.0,78.88066864013672,91.0,0,-1
371,492,70.0,44.76922607421875,93.0,0,-1
120,250,70.0,230.0537109375,92.0,0,-1
146,389,70.0,199.64105224609375,94.0,0,-1
324,208,70.0,96.42778778076172,94.0,0,-1
106,250,70.0,176.32980346679688,93.0,0,-1
474,246,70.0,275.0140075683594,92.0,0,-1
532,408,70.0,283.7288818359375,91.0,0,-1
357,188,70.0,123.70187377929688,92.0,0,-1
400,188,70.0,8.588910102844238,91.0,0,-1
410,182,70.0,8.586858749389648,93.0,0,-1
280,460,70.0,293.8277282714844,91.0,0,-1
