x,y,size,angle,response,octave,class_id
186,349,70.0,153.74725341796875,108.0,0,-1
462,326,70.0,358.475341796875,106.0,0,-1
224,288,70.0,90.58782196044922,106.0,0,-1
248,279,70.0,348.4654846191406,106.0,0,-1
308,279,70.0,161.8282470703125,108.0,0,-1
372,80,70.0,243.9867401123047,107.0,0,-1
298,493,70.0,65.96676635742188,109.0,0,-1
316,368,70.0,211.2847900390625,106.0,0,-1
135,289,70.0,147.62051391601562,105.0,0,-1
204,373,70.0,95.55131530761719,107.0,0,-1
414,145,70.0,303.3359069824219,105.0,0,-1
225,373,70.0,291.7793884277344,105.0,0,-1
485,262,70.0,343.960205078125,105.0,0,-1
343,88,70.0,238.46829223632812,110.0,0,-1
463,364,70.0,305.43536376953125,106.0,0,-1
396,241,70.0,247.45901489257812,107.0,0,-1
401,361,70.0,143.7017364501953,110.0,0,-1
462,377,70.0,9.99223804473877,108.0,0,-1
305,148,70.0,87.9782943725586,108.0,0,-1
394,97,70.0,10.238045692443848,108.0,0,-1
532,358,70.0,56.248531341552734,106.0,0,-1
310,379,70.0,302.8812255859375,106.0,0,-1
510,379,70.0,80.67684936523438,108.0,0,-1
211,193,70.0,286.9580078125,106.0,0,-1
315,381,70.0,2.9885544776916504,108.0,0,-1
410,301,70.0,189.17926025390625,106.0,0,-1
344,356,70.0,259.857421875,105.0,0,-1
457,235,70.0,50.90011978149414,106.0,0,-1
203,386,70.0,161.05252075195312,105.0,0,-1
403,386,70.0,284.8369445800781,109.0,0,-1
405,321,70.0,191.27932739257812,108.0,0,-1
437,230,70.0,50.403045654296875,107.0,0,-1
313,229,70.0,48.475929260253906,105.0,0,-1
448,390,70.0,64.77809143066406,108.0,0,-1
475,318,70.0,248.08116149902344,109.0,0,-1
221,158,70.0,227.68838500976562,105.0,0,-1
401,391,70.0,304.3649597167969,105.0,0,-1
502,350,70.0,187.8743896484375,106.0,0,-1
228,252,70.0,283.49945068359375,105.0,0,-1
306,395,70.0,72.07315063476562,109.0,0,-1
331,112,70.0,251.90960693359375,105.0,0,-1
131,261,70.0,133.36471557617188,106.0,0,-1
395,113,70.0,7.2162556648254395,105.0,0,-1
340,396,70.0,199.0828094482422,108.0,0,-1
468,268,70.0,148.4029998779297,106.0,0,-1
414,397,70.0,245.8199462890625,105.0,0,-1
314,224,70.0,59.10511779785156,109.0,0,-1
377,192,70.0,44.087623596191406,108.0,0,-1
255,403,70.0,258.7370910644531,108.0,0,-1
130,223,70.0,258.502197265625,105.0,0,-1
292,406,70.0,44.60331726074219,107.0,0,-1
254,408,70.0,246.4927978515625,106.0,0,-1
194,348,70.0,166.83900451660156,105.0,0,-1
164,281,70.0,264.40594482421875,105.0,0,-1
323,291,70.0,156.17074584960938,106.0,0,-1
208,166,70.0,224.40379333496094,108.0,0,-1
218,412,70.0,145.85995483398438,106.0,0,-1
282,123,70.0,230.61334228515625,107.0,0,-1
469,292,70.0,49.26426696777344,106.0,0,-1
162,286,70.0,194.9835968017578,106.0,0,-1
322,126,70.0,277.3770446777344,109.0,0,-1
247,314,70.0,199.94813537597656,109.0,0,-1
187,285,70.0,274.32794189453125,106.0,0,-1
233,415,70.0,160.99952697753906,105.0,0,-1
342,421,70.0,288.3447265625,105.0,0,-1
472,291,70.0,52.27509307861328,106.0,0,-1
440,309,70.0,357.18756103515625,107.0,0,-1
253,429,70.0,8.632031440734863,105.0,0,-1
324,440,70.0,169.4241943359375,106.0,0,-1
460,212,70.0,324.41253662109375,105.0,0,-1
350,442,70.0,36.313541412353516,106.0,0,-1
212,210,70.0,323.638427734375,105.0,0,-1
493,291,70.0,30.19740867614746,106.0,0,-1
493,334,70.0,228.57626342773438,106.0,0,-1
462,207,70.0,313.6086120605469,109.0,0,-1
292,207,70.0,310.65325927734375,111.0,0,-1
285,454,70.0,267.06304931640625,106.0,0,-1
336,454,70.0,108.78549194335938,109.0,0,-1
278,176,70.0,347.35626220703125,105.0,0,-1
447,203,70.0,330.8341064453125,105.0,0,-1
217,203,70.0,357.3439025878906,105.0,0,-1
524,329,70.0,278.673828125,105.0,0,-1
374,202,70.0,339.7109680175781,105.0,0,-1
331,283,70.0,296.246337890625,106.0,0,-1
449,198,70.0,337.2492370605469,105.0,0,-1
182,262,70.0,227.39517211914062,104.0,0,-1
390,74,70.0,291.35418701171875,104.0,0,-1
244,370,70.0,237.31698608398438,104.0,0,-1
217,323,70.0,48.90791320800781,104.0,0,-1
310,150,70.0,92.05398559570312,104.0,0,-1
324,270,70.0,329.21246337890625,104.0,0,-1
363,85,70.0,216.6604461669922,104.0,0,-1
419,316,70.0,168.94903564453125,104.0,0,-1
290,464,70.0,241.4788055419922,104.0,0,-1
243,167,70.0,232.35818481445312,104.0,0,-1
469,271,70.0,119.0038070678711,104.0,0,-1
374,313,70.0,200.82583618164062,104.0,0,-1
492,288,70.0,35.230499267578125,104.0,0,-1
191,299,70.0,28.439495086669922,104.0,0,-1
367,100,70.0,204.70620727539062,104.0,0,-1
519,328,70.0,273.2716369628906,104.0,0,-1
513,369,70.0,81.97647857666016,104.0,0,-1
369,200,70.0,2.631561279296875,104.0,0,-1
471,355,70.0,303.6506042480469,104.0,0,-1
331,453,70.0,125.33282470703125,104.0,0,-1
145,211,70.0,253.69915771484375,104.0,0,-1
332,440,70.0,201.338623046875,104.0,0,-1
408,106,70.0,342.1514892578125,104.0,0,-1
279,431,70.0,122.44606018066406,104.0,0,-1
423,421,70.0,40.82411575317383,104.0,0,-1
440,257,70.0,96.61370849609375,104.0,0,-1
418,420,70.0,27.891895294189453,104.0,0,-1
129,220,70.0,257.50518798828125,104.0,0,-1
339,252,70.0,295.0299987792969,104.0,0,-1
348,409,70.0,282.3036193847656,104.0,0,-1
243,227,70.0,270.42791748046875,104.0,0,-1
248,330,70.0,191.41944885253906,104.0,0,-1
283,391,70.0,255.8890380859375,104.0,0,-1
462,236,70.0,326.4156494140625,104.0,0,-1
445,327,70.0,18.009044647216797,104.0,0,-1
114,237,70.0,187.49713134765625,104.0,0,-1
368,116,70.0,38.309356689453125,104.0,0,-1
369,371,70.0,151.7288818359375,104.0,0,-1
425,215,84.0,246.8878173828125,136.0,1,-1
529,332,84.0,318.75518798828125,132.0,1,-1
174,248,84.0,85.56246185302734,132.0,1,-1
370,328,84.0,349.8297424316406,131.0,1,-1
192,300,84.0,4.321208953857422,133.0,1,-1
251,150,84.0,247.7433319091797,132.0,1,-1
414,353,84.0,138.19631958007812,131.0,1,-1
136,224,84.0,250.3356170654297,131.0,1,-1
325,384,84.0,47.28894805908203,132.0,1,-1
335,199,84.0,289.148193359375,132.0,1,-1
269,131,84.0,244.95716857910156,134.0,1,-1
412,304,84.0,219.2929229736328,132.0,1,-1
382,419,84.0,284.1878662109375,131.0,1,-1
192,204,84.0,226.94882202148438,133.0,1,-1
473,226,84.0,327.24609375,131.0,1,-1
420,313,84.0,195.70608520507812,132.0,1,-1
233,415,84.0,156.58590698242188,133.0,1,-1
360,445,84.0,61.05549621582031,134.0,1,-1
132,264,84.0,138.63931274414062,135.0,1,-1
300,385,84.0,227.0868377685547,134.0,1,-1
265,175,84.0,30.792184829711914,131.0,1,-1
424,212,84.0,241.8433074951172,132.0,1,-1
306,395,84.0,55.2415771484375,135.0,1,-1
146,294,84.0,153.96078491210938,131.0,1,-1
330,440,84.0,202.3160400390625,131.0,1,-1
436,230,84.0,90.5226821899414,131.0,1,-1
466,362,84.0,311.4183349609375,130.0,1,-1
204,374,84.0,134.3485870361328,130.0,1,-1
331,284,84.0,318.87841796875,130.0,1,-1
145,292,84.0,150.84605407714844,130.0,1,-1
317,436,84.0,159.17453002929688,130.0,1,-1
535,356,84.0,43.50279998779297,130.0,1,-1
244,264,84.0,27.620513916015625,130.0,1,-1
319,114,84.0,242.18467712402344,130.0,1,-1
256,181,84.0,79.80127716064453,130.0,1,-1
474,221,84.0,334.9231872558594,130.0,1,-1
130,262,84.0,138.1097869873047,130.0,1,-1
348,409,84.0,262.79266357421875,130.0,1,-1
196,300,84.0,10.02595329284668,130.0,1,-1
241,163,84.0,228.34307861328125,130.0,1,-1
317,184,84.0,258.8934020996094,130.0,1,-1
397,228,84.0,210.1295166015625,130.0,1,-1
502,348,84.0,168.4017333984375,129.0,1,-1
248,330,84.0,154.35877990722656,129.0,1,-1
376,78,84.0,258.2320861816406,129.0,1,-1
444,328,84.0,13.008731842041016,129.0,1,-1
292,407,84.0,92.90807342529297,129.0,1,-1
438,233,84.0,93.90806579589844,129.0,1,-1
500,266,84.0,340.185546875,129.0,1,-1
331,452,84.0,122.10777282714844,129.0,1,-1
371,182,84.0,10.512163162231445,129.0,1,-1
228,274,84.0,106.03707122802734,129.0,1,-1
366,300,84.0,236.08157348632812,129.0,1,-1
377,192,84.0,24.89742660522461,129.0,1,-1
452,169,84.0,339.7738952636719,129.0,1,-1
269,463,84.0,214.0914306640625,129.0,1,-1
295,332,84.0,15.13906192779541,129.0,1,-1
283,266,84.0,71.11915588378906,129.0,1,-1
401,144,84.0,157.29849243164062,129.0,1,-1
414,145,84.0,297.4791259765625,129.0,1,-1
215,332,84.0,66.53076934814453,129.0,1,-1
263,432,84.0,24.32813835144043,129.0,1,-1
408,186,84.0,137.9789276123047,129.0,1,-1
415,340,84.0,104.27000427246094,128.0,1,-1
224,288,84.0,66.50484466552734,128.0,1,-1
304,192,84.0,218.45111083984375,128.0,1,-1
462,377,84.0,27.762409210205078,128.0,1,-1
379,292,84.0,221.37301635742188,128.0,1,-1
421,299,84.0,270.1266174316406,128.0,1,-1
319,112,84.0,243.18597412109375,128.0,1,-1
252,182,84.0,93.40404510498047,128.0,1,-1
244,434,84.0,113.68699645996094,128.0,1,-1
395,113,84.0,338.677001953125,128.0,1,-1
264,188,84.0,94.08773040771484,128.0,1,-1
292,280,84.0,111.86801147460938,128.0,1,-1
341,278,84.0,329.45794677734375,128.0,1,-1
174,202,84.0,234.82196044921875,128.0,1,-1
378,149,84.0,5.0362749099731445,128.0,1,-1
294,128,84.0,228.08837890625,128.0,1,-1
377,102,84.0,136.1816864013672,128.0,1,-1
212,253,84.0,147.85205078125,128.0,1,-1
229,406,84.0,116.76316833496094,128.0,1,-1
508,326,84.0,222.71456909179688,128.0,1,-1
492,289,84.0,34.723472595214844,128.0,1,-1
373,326,84.0,151.07662963867188,128.0,1,-1
314,402,84.0,289.2869567871094,128.0,1,-1
318,401,84.0,293.78045654296875,128.0,1,-1
253,400,84.0,252.16087341308594,128.0,1,-1
250,332,84.0,139.01730346679688,128.0,1,-1
349,365,84.0,54.036468505859375,128.0,1,-1
250,274,84.0,37.139888763427734,128.0,1,-1
301,364,84.0,296.12738037109375,128.0,1,-1
406,386,100.80000305175781,277.7270812988281,159.0,2,-1
281,232,100.80000305175781,65.15973663330078,156.0,2,-1
386,73,100.80000305175781,281.6759948730469,159.0,2,-1
389,73,100.80000305175781,288.5628356933594,157.0,2,-1
248,315,100.80000305175781,236.26443481445312,161.0,2,-1
441,377,100.80000305175781,96.63597106933594,159.0,2,-1
131,265,100.80000305175781,141.84515380859375,163.0,2,-1
436,230,100.80000305175781,147.32083129882812,154.0,2,-1
415,163,100.80000305175781,316.0042724609375,155.0,2,-1
347,444,100.80000305175781,84.86576843261719,156.0,2,-1
318,310,100.80000305175781,149.48098754882812,159.0,2,-1
396,85,100.80000305175781,311.1932678222656,156.0,2,-1
361,448,100.80000305175781,56.25892639160156,159.0,2,-1
210,192,100.80000305175781,253.5554656982422,165.0,2,-1
272,462,100.80000305175781,197.67898559570312,156.0,2,-1
341,278,100.80000305175781,344.3594665527344,155.0,2,-1
468,271,100.80000305175781,322.39752197265625,155.0,2,-1
154,304,100.80000305175781,149.3333740234375,157.0,2,-1
367,361,100.80000305175781,23.04704475402832,156.0,2,-1
292,405,100.80000305175781,151.24154663085938,161.0,2,-1
282,456,100.80000305175781,236.98251342773438,158.0,2,-1
330,441,100.80000305175781,91.68525695800781,157.0,2,-1
412,304,100.80000305175781,238.281005859375,158.0,2,-1
330,284,100.80000305175781,41.46906280517578,155.0,2,-1
377,102,100.80000305175781,285.95318603515625,163.0,2,-1
436,233,100.80000305175781,161.62583923339844,154.0,2,-1
503,348,100.80000305175781,138.3441619873047,159.0,2,-1
151,240,100.80000305175781,316.4875793457031,157.0,2,-1
212,347,100.80000305175781,93.06672668457031,155.0,2,-1
402,145,100.80000305175781,267.6361083984375,161.0,2,-1
353,245,100.80000305175781,301.53253173828125,155.0,2,-1
187,287,100.80000305175781,322.9045104980469,162.0,2,-1
397,416,100.80000305175781,34.68699264526367,154.0,2,-1
513,367,100.80000305175781,76.93392944335938,155.0,2,-1
320,111,100.80000305175781,236.0985107421875,166.0,2,-1
269,223,100.80000305175781,211.3783416748047,162.0,2,-1
325,386,100.80000305175781,306.0703125,159.0,2,-1
516,367,100.80000305175781,75.69107055664062,156.0,2,-1
382,419,100.80000305175781,32.982017517089844,160.0,2,-1
426,419,100.80000305175781,49.52180099487305,155.0,2,-1
495,334,100.80000305175781,194.93858337402344,161.0,2,-1
346,420,100.80000305175781,272.0681457519531,156.0,2,-1
410,174,100.80000305175781,150.9879150390625,159.0,2,-1
216,253,100.80000305175781,132.32235717773438,157.0,2,-1
425,212,100.80000305175781,233.71087646484375,154.0,2,-1
344,423,100.80000305175781,267.14324951171875,157.0,2,-1
295,333,100.80000305175781,4.789389610290527,155.0,2,-1
393,428,100.80000305175781,43.35515594482422,154.0,2,-1
410,301,100.80000305175781,239.3714599609375,154.0,2,-1
249,331,100.80000305175781,134.6358642578125,159.0,2,-1
176,202,100.80000305175781,230.69390869140625,154.0,2,-1
340,396,100.80000305175781,273.3166809082031,155.0,2,-1
294,127,100.80000305175781,226.8875732421875,165.0,2,-1
508,327,100.80000305175781,256.04766845703125,157.0,2,-1
444,327,100.80000305175781,45.047794342041016,154.0,2,-1
372,325,100.80000305175781,294.6625061035156,163.0,2,-1
166,325,100.80000305175781,142.13699340820312,158.0,2,-1
485,259,100.80000305175781,328.4281005859375,165.0,2,-1
382,202,100.80000305175781,356.7851257324219,155.0,2,-1
521,320,100.80000305175781,293.46905517578125,165.0,2,-1
130,262,100.80000305175781,143.47073364257812,161.0,2,-1
492,288,100.80000305175781,334.01068115234375,163.0,2,-1
268,302,100.80000305175781,263.2302551269531,167.0,2,-1
179,318,100.80000305175781,116.0119857788086,169.0,2,-1
204,374,100.80000305175781,163.83834838867188,165.0,2,-1
396,164,100.80000305175781,133.42247009277344,154.0,2,-1
420,312,100.80000305175781,40.369258880615234,161.0,2,-1
310,377,100.80000305175781,225.7266387939453,157.0,2,-1
426,265,100.80000305175781,249.14013671875,153.0,2,-1
115,236,100.80000305175781,187.14366149902344,153.0,2,-1
187,194,100.80000305175781,243.18130493164062,153.0,2,-1
374,81,100.80000305175781,259.520263671875,153.0,2,-1
336,200,100.80000305175781,106.87704467773438,153.0,2,-1
336,135,100.80000305175781,349.6925048828125,153.0,2,-1
438,379,100.80000305175781,101.81172180175781,153.0,2,-1
252,384,100.80000305175781,197.03721618652344,153.0,2,-1
298,384,100.80000305175781,336.334716796875,153.0,2,-1
405,415,100.80000305175781,57.43145751953125,153.0,2,-1
318,157,100.80000305175781,105.98114013671875,153.0,2,-1
