Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
392,413,11.0,502,464,504,419,0000000000101011010000111011100011010010001100000001010110011000111010001010001011000000111011111001000000101011110110111011000010100100100000011101100000000000001011101000100000010101011011001011111001011101011000011001010110101000010011111100010111000111,0000000000101011010000111011100001010010001100000001010110011000111010001010001011000000110011110001000000101001110110111001000010100100100000011101000000000000001010100000100000010101011011011011111001010001011000011001010110101000010011111100010111000111,aruco_006,aruco_020
535,550,11.0,118,305,111,344,1100000011111111010100011011111001111000001100000101010111111000110000101111011011011000100010111001010100111011111110101001011010100010111011011101100100100000000011101111101000110101011001001011111001010011010000011011110010101011110111110000010110010111,1100000010111111010100011011111001111000001100000101010010011000110000101111011011011000100010111001010100111011111110100001011010100010111011011101100100100000000011111111101000100101001001000011111001010011010000011001110110101011110111110000010110010111,aruco_006,aruco_020
449,495,13.0,338,82,276,90,1100000010111111010000011011111001111100001001000001110111011000111000101011111010010000101010111001110100111011110110111001011010100000101011011111110100000000000010111111100000100101000011000011001001011011010000011001100110101001010111110000011110000011,1100000011111111010000011011111001111100001101000001110111011000110000001111111010010000101010111000010100111011110110111011011010100000001011010111110100000000000010111111100000100101010011000011001001011011010100011001100110101001010111110000010110000011,aruco_006,aruco_020
452,470,13.0,513,323,488,284,1100000011101011110101010011110011111101001000000101110011010000111010011011011000010000110010110001000000101110111110100001001010100100111011010111000100100000001011110110100000110101000011010011111001011101010100011101000110101000010111111110011110010111,1100000011101111110101010011110011111101001000000001010011010000111010001011011010010000111010110001000000101111111110101011001010100100011011010111000100100100001011110100100000110101000011010011111001011101010100011101000110101000010111111110011110010011,aruco_006,aruco_020
151,154,14.0,395,60,325,59,0000000000101111110000011001110011011000001000000001010101001000110010101011101010000000101001111000000000001011111110110010000000100010100010011100000100000100000011100001000000000101010001010011111000100000010000001001010010100010010000101000010111100111,0000000000101111110000111001110001011000011000000101010101001000110010101011101010000000101001110000000000101011111110110010000000100010100010011100000100000100000010100101000000100101011000000011111000100000010000001001110010100010010000101000010111100011,aruco_006,aruco_020
355,338,15.0,339,83,275,90,0000000010111011010001110011101001111110011001000101110011110000010100101111111111011000100010111001110100111111110110110011010010100110101011011101110001100000001001101100101000110101101011001001001001111010000100001010000010101010010010100100110110010111,0000000011111111010001110011101001111110011101000101110011110000010100101111101111010000100010110000110100111111110110100011010010100110101111011101110001100000001001101110101000110101101011001011000001111010000100001010010010101010010010100100111111010111,aruco_006,aruco_020
23,210,17.0,142,544,560,407,1000000001000000000000010000100000011000001000000100000000010000110000100011000001000000110000001000000000001011010100100001000000100000110000001000010000100100000001001010010000000010001001010011000000100010011000001010010000100000010100011100010111010011,1000000001100000010000010000100000011000001000000100000100010000110010100010000001010000110000001000000000001011010100100001000000100010110010001000010000100100000011001010010000000000001001010011000000100010010000001011010000101010010101001000010111010011,aruco_006,aruco_020
51,46,17.0,387,497,263,85,0100000011111111110001010011111001111000011001000101010010110000110000001010101000000000001010111000110000111011101110111001010000100010001001010110000101100100001011111100101000110110000011001011000001000011001000011011010010001011000011100000011111000101,0000000011111111110001110011101001111100011001000001010010110000110000001010101000000000001010111000110000111011100110110001010000100010001011010110000101100000001011101100111000110110001011011011000001000011001000011001010010001011010010110000011111000101,aruco_006,aruco_020
57,8,17.0,437,364,423,336,0000000100001001000000000111101010101011010011010101000010000000011100010010010111010000100011010010100000001011010110000010010111110100101001010100110001110000001000100100110000000110001010001011111001100110101000001001000000101001010010110110010001000001,0000000100011001000001000111101010101011000111010101000010100000011000010010010111011000100011011000100000000011010110000010010111110100101001010100110011110000001000100100110000010110001011001011111001100110101000001001000100101011010010110111010001000011,aruco_006,aruco_020
229,179,17.0,538,431,530,380,1100000001111111010001110010000000111111111110000011010111000000000010001110111100111000011010100101010100110111001111101001011110101010010001011010110110001100000101111101101000100001000010101011000000111001010011011111010100101010110110111010100100011111,1100000001111111010001110010000000111111101110000011010110000000000010101110111100111100011000100101000100110110001111111001011110101010010001011011110010001100000101111011101000100011000010101001000000111011010011011111110100101010110110111010100100011101,aruco_006,aruco_020
