Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
471,307,19.0,112,149,130,302,0000000011111011110101111011110001111000011001000001110011011000110000001110111010000000100010010000000100101011110110111011010010100100101001011111110100100100000000101000110000000111011001010011101001001000011000001111000110101001110110100100010110010111,0100000011111011110101111011110001111000011001000001110111011000110000001111111010001000100010011000010100111011110110111011010010100100101001011111010100100100000010111100110000010100011001010011001001001000010000001001000110101001110010100100010110010111,aruco_011,aruco_016
492,371,20.0,107,173,139,315,0100000011101011110000010011100001111111011000000101110010110000111010011111001010000000111010010000000000101111110110111011000010100110101001010101000100000100001001110101101000010111010011011011111001011000011000001101100010101000010011110110011111010011,0100000011101011110001110011100001111110011000000101110010010000111010001011001000000000110010010000000100101111110110111001010010100110101001011101000100000000001000100101101000010111010001011011111001011100011000011101100010101000010010110100011111010011,aruco_011,aruco_016
356,195,21.0,164,102,127,257,1100000011101011110000010010101011111011001101000101110110100000011010001010001000000000111010011001110100101011011110110001001110100010001001010011000100000000000011110111101000110100100011000011101001001110010000011101010000101001010111100010011100010101,1100000011111011110000010011101001111000001101000101110110110000111010001010001000001000111010011001110100101011010110110001011110100010101001010011010100000000000011110111101000110100000001000011101001001010010000011001110010101001010111100000011100010011,aruco_011,aruco_016
396,224,22.0,533,228,354,134,0000000010111011110100111011100001111110001000000101010110010000010010001010111011001000110010110000100100111011010110100011010010110110101011010111010101100000000011110100101000110100001001010011001001101010010100011011010010101000110010101100110110010111,0100000010111011010101111011101001111110001100000101010110110000110010001010111011001000110010110001000100111011010110100011011010100110111011011111010001100000001011100010100000110100001001010011001001011010010100011011010010101000110011101100110110010111,aruco_011,aruco_016
477,347,23.0,453,152,280,138,0000000011101011110101011011110001011010011101000001010111011000111000101010111000010000100010010000000100101011110110101010000010100110101001011111100100100100001010101001101000010111011001000011111001011001011100001111000110101011010110100100010111100111,0000000011101011110101111011110001111010011100000001010111011000110000101010111010011000100010011001000100111011110110101011010010100110101001011111100100100000001010101011100000010101011001000011111001011001010000001011100110101011110110100100010111010011,aruco_011,aruco_016
451,300,24.0,109,174,140,316,1100000010101101110000011010101011111101010100000101010111001000111000011111001001000001101001110101000000111110011110110001001110100010101011011001100100000000000000100111101000100101000001000111101001011111010000011101110000101000110010110110010101010001,1100000010101111110000011011101011111101001000010101110011111000111000011111001001000000101001111001000000111110111110110001001110100010101011011101100100000000000000110111101000110101000011000011101001011111010000011101110010101000010111110110010111010001,aruco_011,aruco_016
487,385,25.0,137,140,137,286,1100000011111111010101111011101001111100011100000101010010110000111010101111101011001000111010010001100000101111010110101001011010110110001001010111000100000000000001100000101000000110001001001011111001111001011100011001100010101011010111110100011110010111,0100000011111111010101110011110001111110011000000101010110110000111010101011001010001000111011010001100000101111010110101010011010100010001001010111100100000100000001100000101000000110000001000011111001111000011100011111100110101011010110110100011110010011,aruco_011,aruco_016
437,313,26.0,500,386,416,219,1000001010001011111101110011110011011011011111000001010011101000111000001110010010111100000000101101000000101110110110001000011110110100001111011001100110100110000100100110010000000110011010011111111000110100000110101100001010101001010110110010110100100101,1100001010011101101101111011110011111011011111000101110011101000010000001110110001111100000000101101000000101110110110001000011110110100001101011001100111100110000100111110110000110110011010011111111000011100000010001100001010101001010110100010110100100101,aruco_011,aruco_016
534,446,27.0,480,387,408,226,0000011010111111010101011111110011111011001010000001110111000010011101011101010110111100111010001100110001111111111111011011010110100000011101010101000110001110001001100000111000000101110010011001111000110001000010101001000110101010110010111010110100010001,0100000010111111010001111011110011111011001011000001110111000010011110011101010100011100111000101100010001111111011110011011010110100000011001010101000111000100001001100000111000000101100010011011111000110101000010111000000110101010110010111010010100010101,aruco_011,aruco_016
228,3,28.0,203,53,124,220,1000000010101001110000011011101011111011000000000101110010010000111000011010101001000000110010111100010000101110110110111010010010100100101011011101010101100100001011110000111000010110001001011011111001011110011100000111010000101011110011000110010111000111,0100000011001001110100011011101001111111010000000101110010010000111000111010101001000000100010110100010000101110110110100010010110110100101001010111010101100100001010110100111000010110001001011011101001001010011100000111010000101001110011000110010110110110,aruco_011,aruco_016
