Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
310,445,6.0,437,439,527,406,1000000000100011010100111001100001011100001000000001010110011000110010001010001001010000100000111001000100111111110110101001000000110100100010000111000000100100000000111110000000010111011001000011010000010010011100001001010110101000110101111100010111000111,1000000000100011010100111001100001011100001000000001000110011000110010001010101001010000100000111001000100111111110110101001000010110100100010000111000000100100000000111111000000010111010001000011010000000010011100001001010110101000110101111100010111000111,aruco_016,aruco_020
470,210,7.0,460,445,560,407,1000000001100000010000010000100000011000001000000100000100010000110010100011000001010000110000001000000000001011010100100001000000100010110010001000010000100100000011001011000000000000001001010011000000100010010000001010010000100000010101001000010111010010,1000000001100000010000010000100000011000001000000100000100010000110010100010000001010000110000001000000000001011010100100001000000100010110010001000010000100100000011001010010000000000001001010011000000100010010000001011010000101010010101001000010111010011,aruco_016,aruco_020
397,470,12.0,438,334,488,284,1100000011101111110101010011110011111111011000000001110010010000111010001011011010010000111010110001010000101111111110100001001010100100011011010111010100100100001011110110100000010101000011010011111001011101010000011101000110101000110111111110011110010011,1100000011101111110101010011110011111101001000000001010011010000111010001011011010010000111010110001000000101111111110101011001010100100011011010111000100100100001011110100100000110101000011010011111001011101010100011101000110101000010111111110011110010011,aruco_016,aruco_020
402,497,12.0,189,151,122,162,1100000011101111010101010011111001111110011100000001110011011000111000001011011010011000101010010001010100101111111110100011001010100000011011010111010100100100000000110000110000000101010011010011111001011001010100011111000110101001110111110100011110010011,1100000011101111110101010011111001111101011100000001110011011000111000001011011010011000101010010001010100101111111110101011001010100000011011010111110100100100000000110000100000100100010011010011111001011101010100011111000110101001010111111110011110010011,aruco_016,aruco_020
454,563,12.0,131,302,111,362,1000000010111011010001110011110001011010011101000101010101010000111010001110001011000000111010111000000000111011111110100011011010100010111011010101010000000100000000101001101000010101010001000011001001110010011000001001110010101010010010111100010111000011,1000000010111011010000110011110001011010011001000101110101010000111000001110001011000000111010111000010000111011110110100011011010100010111011010101010000000100000000101001111000010111010001010011001001110000011000001011110010101010010010111100010111000111,aruco_016,aruco_020
328,425,13.0,135,356,137,425,1100000010111111110000110011101001111110001100000001010111010000111000101011011011001000101010010001110100111011011110100001011010100000011001011101000100000000001010100011111000110101000001011011011001110001011100001001110110101001110110100000010110010011,1100000010111111110100110011100001111110001100000101010010010000111010101011011011001000101010011001100000111011011110100001011010100000011001011101000101000000001010000011111000110101000001011011011001110001011100001001110110101001110111110000010110010011,aruco_016,aruco_020
448,505,13.0,403,164,382,96,0000000001100111110101111011110001011101011010000001110011001000110010001010011000100100101000101100000000111110110111111001011110100110100000011101000000100110000010101010001000000101010000001011001000111010010110011001010110101000010100101010010100000101,1000000001100111110101111011110001011101011010000001110011001000110010001011111000100100101000101100000000111110111111111001011110110100100000011101000110100110000010101000011000000101010010101011001000111010010110011001000110101000010100101010010100000101,aruco_016,aruco_020
151,311,15.0,248,446,307,491,0100000111101001111000010011101011111101000100010001010110100010011010011010000100001000011010010001100000101110010110000010000110110010101101010011110101100000000001100011111000000110100001010011101001001111001000011100010000101011010111111110111100010101,0100001011101011111000010011101011111101000100010001010110100010011000011010000101001010111010010001100000101111010110000010000110110010101101010011110101100000000011100011111000100100101011010011101001101111000000011100010000101011010111111110111100010101,aruco_016,aruco_020
344,400,15.0,432,363,491,319,1100001011001101000001011011101011011001010011010101110010101000111000111011110100011001110001111000000000111110010110001000001110100000001011011001110110100000001010110100110000100110000010011111111001111100001110011111100100101001010010100010111101100001,1100001011011101000001011011101011011001010011010101110010001000111000111111110100010001110001110000000000111110010111010000001110000000001011011011111101100000001010110100100000100110000010011111111001111100001110011111100100101001010010101010111101100001,aruco_016,aruco_020
361,488,16.0,247,446,304,490,1100000011111111110101110011110001111110001000000001010010010000110010001011011010001000111010010000100000111111111110101011001010100100001001010111010100000000001001110000110000010111000011010011111001011101011000011111000110101001010011110100011110010011,1100000011111111110101010011110001111100001000000101010010010000111010001011011010011000111010010001100000111111010110101011001010100100101011010111010000000000001001110101110000110111000011010011111001011101011100011111000110101001010111110100011110010011,aruco_016,aruco_020
