Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
1195,125,26.0,388,453,301,373,0100011100101010011010110110101110110010001100001000011111010100001110001001000111000000101001010000110010100101000011000011100000111011010000011100110101100001010010000010000100011100001101000011001111110111000100101011010000010000011010111011010010010111,0100011100101010011010110110101010110010011100001000000111011110001110001001000111000010101001010000110000100101011011010111000000111010010100011100110001100000010010010010000100011100101101000001001111111110000100101011010000010000111010111011100011010111,aruco_000,aruco_012
1184,123,31.0,319,214,288,247,1001011111001000011110101011001111100011111100001101010101011000110010011111000011000000001111010001101000001001011000111001101010100000100001110010111011101110100110100010000010001000010001010011011101100010101000000001011010100000110110001100000111010111,1001011111001000011100101001001111110001111100001001010101011000110111011111000011000000101111010001101110001011001000111001100000110000101001110110101001101110000110101010000010000000010001000011111101100111001000000001011010111000110110001100010111110111,aruco_000,aruco_012
1202,158,33.0,411,388,319,343,1111110110110010110101110001111000101100011110000010110110010001100011001010011001111001001010010001110010110001111100101001101110000001111010000111111000010111000100011110000111001011010001110000010000010001010001100011000111110101100110110000000010001111,1111110110110110010101111001110000111100011100000011010111010001100011001010111001111001001010010001100110110001111100101001001110001011111011001111111000011111001110011110100100010011010001110100010101011001010001100011000111111101100110111000000010101011,aruco_000,aruco_012
1206,138,33.0,388,411,305,353,0111000110110011010010111011001001100110001000100011010011111011100010001010101011100001100010110000101010100000110110111111010000011111001110101101001100101001000010111000000110010100011011101101100001011010100101010010010110101101010000001000110110010111,0111000111110111110010111011101101000100001000100101110011111011000110001010101010101101100010110000100011100001110110101110010000011111001110101101001101101000000010111110000110010100011011111001100001011010100111010010010111001100010000001000101110010110,aruco_000,aruco_012
1198,151,35.0,428,388,326,344,0111100010110001000110111010001100010110001000100010011010111001110010101010101011111001110000110000111111111001110100101101010000011111000110001111001100101000001011111110000111010000001011111001000001011010011101010110010111101101110100001000111110010110,0110000111110011100110111010101101010110001000101110000010110001110010101011101011111001010000110000101110101101110100101111010001011111000000001111001100101000001011111100000111010000001011111001000101011001010111000110010111111110110100100000111110010110,aruco_000,aruco_012
1145,19,41.0,384,454,301,373,0000010100101000011010110111001010110010000100011100000111111110000111001011000111001010100011000001110000100001011011100111000000101011010111001100100001101001000111000010000010111000101101000001101100100110000000001011110000011010011011101011110011000011,0000010100111001011010111111000010110100000100011100000101111110010111001101100111001011100011010001110100100001011011110111100100101010111111011100101001101001000110101000000011010000111101000101101100110110000000001011110011101010011011101101110011101111,aruco_000,aruco_012
1249,272,42.0,427,388,327,344,0111111000111000011101001000011000000111000101110110011100111101100001100110100011111101100010110011110011110000110001001101111000100110011011101101101001100110011000111101111001111010011001101110101001011010011001101011100100101011101011000011111011110010,1011111000110000001100111010011000000111000101100110011110011101100000101110100011111101101010110010111011100100110000001101111000000110001010101111101001100010011000011100111110011010001001101010100001011010011001100011100100101111100101000111110011110111,aruco_000,aruco_012
1279,314,43.0,197,265,223,263,1010100011100101001011010011110001000111100011110101101101100010001011000011010010111011000000010100001000100001010111110001000111101010101011110011000110110000100000000010100111000100010101000011000000110011001000111100000110101001010011010110111101100111,1110100011010101011011011010011001111111101011110101101100100010001001100011000000111011000000110100000100100011010110110001001111111010101111010011000010110000100000000011100101000110010101000011100001111011011000111001000000101001011010011110011101000111,aruco_000,aruco_012
1221,152,45.0,326,296,286,288,1111000000111110010101101100010101110101111000101011101100011110111011100110011001011001101100011001011010011101111100111111100111101000110000101001000010000110111101010110100101011011010111000111110100011001111100001001000101111101110111110101000110100111,1011000000111011001101001010010011010101101100101111001100011100010011100110011001011000101101111001011010000100111100111111100111101000110000101001000010000110111101101110100101101111011111000111110100111101100110001111000101111110111010011101000110100111,aruco_000,aruco_012
1153,9,46.0,504,504,355,412,0001010100101011011010110011001010010100101000011100110111011110111111100011000111011001100001000000110000101101011010110010000000110000110110010100101011111000010101101000000010001100101101000001000101110011010100001011110010101010110000101111110010000010,0001010100101011011010111111001000010100101000011100100001011111111111100011110101010011100010000100111100101101011110010011000110001000111110010000101001001000010101100100000011001101101100000101100101111010000100001000110011101010110010101100110010000010,aruco_000,aruco_012
1162,82,50.0,504,81,394,198,1000111011111100000111011110101110111010001000110111011010100001101010110110010010001000100011010101000010011111101100000000111101101111000011010111101101010101001011100101101101110011001110011110011011011111000101110011010000001110000010101101011110100111,1000110011011100000111010110101110111010001100110111011010100101000110110110010011010000000011010100100000110110100100000000011101101111000111010111111111111101001011001111111000111000111110011110001010011011100011010011010000001110011010000111111100100111,aruco_000,aruco_012
1166,57,50.0,384,446,301,371,0000000100111000001110000111010010110111001101110101000100011110000110000001001011011010100011010001110001100001110100111111010000101110011101001100000001101000110100001111100011100000111111001101111100100010011000001011100100101001011110100111000111111011,0001000100111001001110011111000010110110001100111101000100011010010111000001000111011011100011110001111000100001010100110111100000101010111011001100001001111100111110101010000011100000111111000101101100110110000000101011110111101001011011101101010110111011,aruco_000,aruco_012
107,3,51.0,145,82,178,133,0000000100101011010000110011000011110001001000010001110110000000001010000010001101000100010100011101000100100110010110011010000110110000100001011011010110000000001001110001000000010101001001000011111001100111010110001101010110101010010010111011000100010011,0000000000101011010000011011000011010101001100000101010110001000111010000011001001000001110000110001000000111100010110110011001110100000110011011011110000000000001001100011100000010101000001000011110001101111010100001001110100101010110110110110010100010011,aruco_000,aruco_012
1231,285,51.0,385,173,276,354,1010110001001011010100001110010010100110111000101100101100110010010010011010000110100001100100101111100011000110001110110000001100111111110111111101100001110110111110000011001110000100101011111100100000101110101001100110110010111100110011001110011011110010,1010110101000011010110011100010010110110111000111100100101110110000110001000100110100001110101001100100110000110001010110000100000111100110111111000101100011110111110001010001110000100110001111111100100101110101001000010011110111100110010001100011011110110,aruco_000,aruco_012
36,64,52.0,455,45,144,221,1100000010101111010001010010100001111011001110000101010010110000010000011001011000001000110100011101000000101011010110100000001110100010001001010011010000010000000001100011111000000111000001001011101001100100010000011011010000101001010110100011011110010011,1100000011101011110000010010101011111011001101000101110100100000111000001010001000000000111010011001110100101011001110110001011110100010101001011011010100000000000011110111101000100100000011000011101001001100010000011101010000101001010111100010011100010111,aruco_000,aruco_012
454,518,52.0,62,310,419,190,0000000000110001010100000000010000001000001000000101001100010101100011001010001000000011100000011000000000100011110110100111000001100001110000001010010000100100000000011000000000001100011101000001000000000000010000001011000111101000010101111001000011010111,1000000000100000010000010001100001011100001000000101000100010000110010101010000001000000100000001001000000101011010110100011000000100000110000001000000000100100000010101011000000000100011001010011000000100010011000001011010010101000010100111100010111000011,aruco_000,aruco_012
1182,156,52.0,413,411,317,355,0101110110010011010100011011111111111111011000011111000010110111111010011011010000000101000100011101001001101100110110001110100111110101101110111011010010111111001010100101010101011110011110111011010001101101000110010100000110110101011000110110011100100100,0001110100100011010010110011000110011101011100000111000010100111011011001010010000001001010000011101001101111110100100001110100111100111100110101011010010110001001010100001010101011111001100111011010001111101000110110110000110110111000000010110101100000100,aruco_000,aruco_012
1222,204,53.0,333,182,298,235,1000000111101011011011110000010001000100111010011011100101011100100110110110000111011100101100011001101110100011100011001001100010101000111110001100001010010110111100011110000100000011010011000010111100110011111111001000100111101100011100111101101010001011,1100010001100011011100110100010000110100111000011011100101011110100110110101000111110000101000111001001111100111100010001111100110100000110110001100000010111100111100011110000100000001010011001001111100010010101010111001100101100100010100111101100011011010,aruco_000,aruco_012
1295,342,53.0,408,147,340,223,1101111000010100000011001110100001001001011111011100101111010000010000110010010010111001110111100100011001111010101110000011001011100000011011100101000011010101111000111000111001011101100010011101011000110101000000111101101110001000110010111111011110000010,1100110010010100001001101000000001000001010111010100111111010000010000100100110010111101110111101100011101111010101110011111111010100100111011110111011011110100111001111010111001111111100010011011101000100101000000011111001010111011110010111111011110010011,aruco_000,aruco_012
1199,183,54.0,147,289,196,271,1111110010100011010100110111101000100101001000100011100111110011110110010010101000100101100001111011100010100010100010100001000010011110111110111100011000111001001000011100001100010000101011011100100001010000101111010010010110101101101100000110101011000100,0111000101110011110100111111101000100101001000110110010011110011111110011011101010100101110011011011100011100011000100100010000010111110101110111110011100111001000011101000001010010000101011011100100001101010100111010000010010101110101100101110101010010100,aruco_000,aruco_012
5,61,56.0,385,32,419,176,1110000100111111010000100011001000100101001101000100000111001000111000101111010101000100010000001101010100111110011110110011010111110000111011010001100010000000101001000010100000010101000000000011010001110010010110001011110000101010110011111110010000010101,0000000000111110010100111011000001011101011100000101010110011000110010101011101001000000111000111001010100111100011110110011000110100000110000011001100100000100001001101011100000010101000001000011000001111110010110011011110000101010110011111110010110010011,aruco_000,aruco_012
