Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
1261,303,30.0,197,206,251,273,1110000001110110111010000010001010110001100101011101000101010001010001001000010101101010011100010111101001010000001000000000101111100010101011111011100010110010001100001011101001111001000001000111001101000111100100111110110011010001011111111011010000110001,1111000001110110011011000010001010110001100101010101010101011001010001001000010101101010000101010101101001011000011000000011101110100010111011110010110011110010001110001011101011110101010001000111001101100111100110111110110001010001011011111011011000110001,aruco_000,aruco_005
1290,389,30.0,305,383,357,332,1011101000000110110010001110010001110111000000010000110100011101100010100101101001110100110000111101000000000100100101111111110100110101001110101011011110011100110101111001001001001111101110001011110100011001011010000011101101100011011001000011100100011011,1010111000000110000010001011010001110111000000010100010100011101101010100101101001110100110000111000000000100000100001111111110100100101001110100011011011011000110101000001001000101111101110001011110110011001011010000011101111101011011001000000110100011011,aruco_000,aruco_005
1089,62,31.0,95,169,187,285,1111010111110001011100000110000011100110010101010000001101001001110110001011000010000101100111001001111010000001110001110101011010010100011001001100001101100100000110011110101001101000001011001101101010010100000000011010110011111000110111001000101111110010,1101010111110000011100000110000111100110010101010000001101000001110100001010000010000100101111001011111010100101010001110111001010011100011001001100001001100100010110011110100001001000011011101101101010011010000000011011110001011000100111101000101011110000,aruco_000,aruco_005
1235,314,31.0,197,385,302,363,0001110100111101101110101010100100111011101100000010011000000100001010101101011101011000110000010000010000111110001100110010010111101000010000110011110011101011111100000010011001010011101101111010010001011011011001000101010110111010101001100011110110111111,0001110100111101100110001011100100101011101000000010100000001100001011101111011101011011110000010000010000110110001110010010010111101001010000010011110011110011101100000000011001010011100101111010010101011001011001000101110110111000100001100010100010111111,aruco_000,aruco_005
1269,393,32.0,265,315,317,309,1110010100111111011100001101110010110011101110111100100001011010111111110111010011011010110111110100100010101111110110111001001111001100111111011010101110010110101111110110010101101101100101000101010000111100100000001001000001111110010011111011110110111111,1011010100111111011101101100110010110111101110101100100001011010111111110111010011111010010111011100101010001101100010001001001101001100111111011010101110011010101111110110001001101101100101000101010100111101100000001001000001101010010010110011111110101111,aruco_000,aruco_005
1278,370,32.0,383,172,336,199,0000111101010000001001101011001010011001100101111000110101110001011011110011100000110010100110100101011011001100100110010110100110111100111010101011011100000000110011101000001101101100101011000011101101101010000110111000010000100110110001011111111111000010,0000100100010010001011001111001010011001100100111000111101110001000011110011100001110010110100001101011011001100100110010110100111111110111111001111111100000000110011101000001101101100101011000011101101101010000110110000001001100110110001001110111110010110,aruco_000,aruco_005
1245,308,33.0,388,505,434,368,1001000010110000011100101110001110110000111100101111001101000011111010001010111011100011110011100111101010000101100101100100000001101110100111000110101100010111111110000011010110111001111000000001000100101010110011000001011011110010000000101000110000011001,0001000010110001001100111010001111110010111100101111011111001011111010001010111111100011110011100101100010101101100101100101000000101110100111000110110100010111011110100011010111111001011000100011001100111010010011100001011011100010000010101000110110011001,aruco_000,aruco_005
1254,297,33.0,269,149,268,223,0111000111110111110000110110001000100110101100011101010101110000100101100010111100110010010000010111000111100001010010000110000010001100101001000010110110001010110010101001100010111101011000010101100111101111010110111111110111101011010000011000111010110011,0111100111110011110000110110101000100010101010011101110100010001101101000010111100110010010000010111000110100001010100010110000000001100100001000010110100001000110010101001010011111101011000110101101111111010010110110110110111001011010100011000111110110011,aruco_000,aruco_005
1190,233,34.0,296,438,367,361,0110100100100111010000110000001000011100000011011100101010111111100011101000100000010111100100110110100101110100100111010110000111010011101110011011101011111001110000011101000010011110010100001101100111000000011110011011100001010101011101000000101011010010,1110100101101111010011100010001000000001000010011100101000010111100011101000100000010101100100101100000101110100000111010010000111010011111110011001101010111001110001111101000010011110100100101001100111000000011110011010100001010101011001000001101011010010,aruco_000,aruco_005
1277,365,34.0,265,147,267,222,0010000100010000101000000011110001011101010110100111101000001101101010101111011000010010000100010101011101100000011101110011001111111101110010101011010110100101100000000110100111100111000111000000110110000000110000101110000111001000111101111100000110010111,0000001110001001101011000011110001010101000111000111101000001101101010101111011000110011010100100101011101100000011101110011101111111001110011101011010000110001100000000110100111100101000101000010010010000001110000101100000111001101111101011100000110010111,aruco_000,aruco_005
