x,y,size,angle,response,octave,class_id,descriptor
71.0,552.0,31.0,168.5080108642578,0.0009158741449937224,0,-1,0100101010100111101101110101110111011001100001110011100111101011101111101010010111101110100010011110100011100111000011001101011011111101111111111110101010100000000100101100101111101011010111110011111110110110100011110111111110000010001000001010011111111010
282.0,260.0,31.0,23.25385284423828,0.00026402255753055215,0,-1,0111110101101101111100010110010011111100010111110100011110111111010000011110101010111100000010000101001101111001110101010011011001011000110001000101010001101010011010010011001011100001000011100111111111011101001001010011110001100011111110001101011000100000
556.0,191.0,31.0,169.03054809570312,0.0006367600290104747,0,-1,0101001000001100101110101111011000000101111001000111011101100010101111011000101011001110000000001011110111111111001001110111000011100000111111111111100110000001000000001101111110110010111010101101000111111111110111100000101100000000011100010010111100101010
298.0,302.0,31.0,204.19635009765625,0.00042970303911715746,0,-1,1010100011101101011111010100000110110100010010110110010110111111011101011011010010101110000110001111001100010001100001010011010100001001100101100110110000111000011110001111100001110001000011001110111111011011011101010101010001100011100110001100011000101010
144.0,260.0,31.0,148.67422485351562,0.00036831380566582084,0,-1,0010001011111000000000011001100001001010110000011011110111001110000111110100001001011000101011110010110011010110111001110110010011111111101110111001001110010001010001110000101001110110111100110001110000000100100111111010101000011101000111000010010111111111
380.0,231.0,31.0,326.0743103027344,0.00024828550522215664,0,-1,0011110001001111011010101110111001110100100100101111111101111000010101001000010011111111101000100111001111101001101110110110000001111110111111000001011111101011110010001011001100101100101011010111001011101101101001111000100101110101101110100111010010100001
363.0,496.0,31.0,342.1671447753906,0.0003387110773473978,0,-1,1111110101001011010011110010011000001010000000100100110010111100101000011011001010000010111011000111001101100011100010010101001100100010111001000110110011101110011010010100001110001111001010001111001011101011011001011001110000101010101100110110001000000000
611.0,309.0,31.0,14.164522171020508,0.00032217762782238424,0,-1,1001010101010110010001110000010100110010001010100110001001111000011101001100101001111011111001000101001101000010100010011101010100110110110011000100010001101110101010011011010000000101000011101011010010101100001000111000010001101011111100110110001010010101
144.0,383.0,31.0,260.0451354980469,0.0007372571853920817,0,-1,1111011001101010000010001110101001001001100001010101101111011000100010110011110010110101000110011000001011001111010011110001001111001100100110011100011111010010010010100110011111011010101100001111001111010001100000010111111101010001100110110100111011010010
604.0,494.0,31.0,311.77313232421875,0.00035916719934903085,0,-1,0011000110001111010010111110111010010110101000111110111101111111010101100000000111011010110001100111000111100011101100000110000001111011101010100001011010111100101110011011101100000100111111111111100010101110101011111100000000111101110010101111000010101000
92.0,417.0,31.0,84.23615264892578,0.0009124320931732655,0,-1,1010011001100100010100001110100001101100000010111100111001101001010111110010001011111001110010100001001111001001011101010001000111011010100110010001001110101010010010100011011001001000100111110011010010011000100000010011110001110101101110100101001010000000
363.0,491.0,31.0,64.79450988769531,0.0006784536526538432,0,-1,1010100011001101001101110111111010011101110011010101011111100100110101110000110011101100000010010110001011110101001000100001010111011000011100101100101001100010011010100010101101111010001111111111001111110111000001010011101101010010001110111101011000101010
646.0,311.0,31.0,5.824336528778076,0.0008928761235438287,0,-1,1001101001011101001001101011110110100101100101111011110001100111100111010000101011011010001100111010110010111100001100101110000111101100101100111011111110000011111011001011110100010011111111111011001101110010110111101000001100011111010111001011100100011111
679.0,317.0,31.0,201.13192749023438,0.000930245965719223,0,-1,0000111100011001101111111111110001101101111001001011101101010010100011001100100001011110001000101011110011111111001100010110000011101110011110111011011111000011100000011001101100110010111010000101011101111101101010101000101000010110111100010010010111111011
402.0,330.0,31.0,122.49958038330078,0.0002593684766907245,0,-1,1010001011101101011110100101101001010000100001011111011111100111111110010000010101101100000110010010001011001001001011100001000011111000101010100000001101000000011011101011111100000000011011110111101100001100000101000100101101000001100110001110011011001110
294.0,259.0,31.0,136.9829559326172,0.00038811317062936723,0,-1,0100100011111001100100111111000110110011110011000011010110010111101010111011100100001010011110001001111010010111010000001111011010000111010111111111110100010000010100110101100010010000011000001110110111010101000101100110011010001010000100001000011100111011
48.0,416.0,31.0,96.86167907714844,0.0006466210470534861,0,-1,0001001000100100111101111111011111110110101011101011100001000111111011111001100111111011010100101010110011111011001101000000101010101111101111110111111110010001100100101111100110000011111000001011110000111110000111101100001011000101110000001010001110101001
159.0,232.0,31.0,39.33905029296875,0.0008738661999814212,0,-1,0010000010001101000000101001110001010101110001111100000001100111110101100000010111001000000000101010000011011000001100000110000011001000001010100001001110000001010011101010101101010010101111111010000100110110100110100000101100010000000010001111010010001010
