Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
1574,264,18.0,757,645,276,232
1577,205,18.0,711,836,252,325
1197,161,22.0,897,607,352,201
1578,282,22.0,807,529,304,168
1856,920,22.0,851,478,328,135
1565,450,24.0,1024,726,418,252
1650,618,24.0,789,595,294,205
1803,839,24.0,758,645,276,232
1829,832,24.0,723,633,259,229
2026,1140,24.0,735,602,266,211
2027,1237,24.0,799,509,301,159
1403,239,25.0,931,475,374,125
1654,552,25.0,722,635,259,229
1797,669,25.0,819,617,308,214
1914,850,25.0,806,526,304,167
1241,37,27.0,985,539,404,156
1409,451,27.0,898,595,352,194
2035,1464,27.0,831,487,319,143
1544,245,28.0,780,653,289,235
1689,579,28.0,804,761,300,286
1694,471,28.0,779,654,289,235
1804,1191,28.0,782,496,290,152
1845,1160,28.0,782,487,292,147
1210,114,29.0,897,594,352,195
1693,897,29.0,784,485,292,147
1854,965,29.0,726,606,261,215
1163,147,31.0,686,650,241,240
1199,265,31.0,1023,724,417,251
1296,131,31.0,1016,760,412,270
1389,428,31.0,779,594,289,205
1440,122,31.0,888,448,350,115
1621,831,31.0,938,580,374,183
1679,927,31.0,844,473,324,134
1691,574,31.0,781,498,292,154
1712,1138,31.0,809,408,306,102
1789,608,31.0,794,518,298,163
1929,869,31.0,797,511,300,160
932,854,32.0,710,801,251,310
1494,610,32.0,701,438,247,131
1521,59,32.0,856,574,330,188
1601,880,32.0,987,539,405,154
1935,1209,32.0,938,573,375,178
1959,1265,32.0,760,645,276,232
1329,227,33.0,778,358,290,76
1484,156,33.0,838,487,322,142
1491,295,33.0,802,523,302,165
1642,497,33.0,682,878,238,344
1661,980,33.0,923,595,366,193
1670,528,33.0,727,605,262,215
1683,953,33.0,928,473,373,125
1769,936,33.0,699,438,248,131
1941,1232,33.0,926,594,366,192
1957,1169,33.0,781,656,289,235
1180,262,34.0,696,586,246,208
1444,277,34.0,794,705,295,258
1461,223,34.0,809,749,302,278
1496,5,34.0,798,512,300,161
1708,656,34.0,756,475,275,124
1161,145,35.0,791,584,295,198
1377,100,35.0,966,603,389,192
1451,526,35.0,925,597,366,193
1637,859,35.0,801,523,301,164
1788,908,35.0,836,488,321,143
2042,1243,35.0,856,462,332,128
1168,172,36.0,848,480,328,138
1582,45,36.0,1024,713,418,246
1822,843,36.0,779,654,288,235
1882,1152,36.0,887,448,351,116
847,948,37.0,599,249,305,102
1248,32,37.0,943,707,373,249
1612,565,37.0,908,475,361,127
1926,1282,37.0,854,573,328,185
2009,1473,37.0,781,684,288,249
2011,1512,37.0,939,584,375,185
1059,1003,38.0,603,317,330,236
1214,200,38.0,881,384,348,79
1233,72,38.0,1006,539,417,153
1497,571,38.0,1045,802,426,289
1529,901,38.0,912,460,363,120
1666,1241,38.0,709,801,251,309
1725,822,38.0,856,572,330,186
1775,1181,38.0,789,582,294,197
1960,1478,38.0,706,803,251,309
1198,26,39.0,727,601,262,214
1328,217,39.0,700,437,248,130
1470,10,39.0,819,618,309,213
1508,92,39.0,709,802,254,307
1531,460,39.0,850,479,328,137
1647,641,39.0,781,659,289,238
1673,652,39.0,868,575,337,187
1695,1180,39.0,796,406,301,102
1450,273,40.0,919,717,360,256
1686,186,40.0,769,458,284,121
1824,1228,40.0,758,457,280,133
2040,1394,40.0,874,369,344,71
2059,1267,40.0,806,652,299,232
252,1548,41.0,967,604,267,126
896,128,41.0,760,423,280,116
955,398,41.0,923,611,366,200
1165,300,41.0,1044,800,426,289
1195,207,41.0,757,453,278,132
1267,71,41.0,740,558,268,189
1449,467,41.0,763,469,281,140
1482,101,41.0,773,487,286,150
1517,190,41.0,1035,906,416,341
1805,833,41.0,815,645,307,229
1810,916,41.0,690,866,243,338
2013,1227,41.0,817,645,308,228
2044,1409,41.0,885,380,350,77
121,1374,42.0,656,789,230,304
560,1532,42.0,239,473,328,220
687,317,42.0,956,625,385,206
1592,312,42.0,856,367,333,73
1658,504,42.0,871,595,337,197
1669,853,42.0,898,403,359,88
1696,938,42.0,985,771,393,276
1999,1269,42.0,967,749,385,266
1215,293,43.0,828,416,321,104
1294,463,43.0,937,577,376,182
1308,1107,43.0,658,797,228,311
1319,48,43.0,840,570,322,187
1425,645,43.0,842,572,322,187
1492,157,43.0,711,825,252,320
1532,375,43.0,682,616,238,224
1589,971,43.0,807,415,305,105
1646,581,43.0,759,455,278,133
1649,494,43.0,712,883,252,346
1971,1187,43.0,778,487,287,150
2029,1723,43.0,1025,713,421,246
723,1327,44.0,757,434,278,266
1452,252,44.0,724,635,259,230
1620,913,44.0,761,468,281,140
1746,873,44.0,886,448,350,115
1785,1016,44.0,913,505,363,144
1834,1218,44.0,761,466,280,138
1937,841,44.0,797,654,298,233
1965,1261,44.0,914,738,356,266
2047,1458,44.0,799,677,299,245
1258,23,45.0,994,745,400,264
1446,134,45.0,885,597,345,197
1503,256,45.0,832,647,315,227
1705,644,45.0,814,647,306,228
1869,991,45.0,809,654,304,232
1884,1174,45.0,884,382,349,78
1913,1145,45.0,872,594,340,194
1968,1545,45.0,889,448,350,116
1987,912,45.0,699,871,248,340
2050,940,45.0,781,724,288,268
311,1583,46.0,756,453,247,303
355,376,46.0,755,645,156,221
423,1876,46.0,656,903,260,281
531,704,46.0,604,257,312,144
640,689,46.0,1022,725,341,206
1187,18,46.0,880,525,344,159
1350,540,46.0,807,416,305,107
1477,237,46.0,697,854,245,334
1561,597,46.0,1018,759,412,270
1771,888,46.0,903,717,351,256
1843,1165,46.0,782,687,290,251
1904,1216,46.0,621,923,289,76
1944,1085,46.0,884,594,343,196
912,299,47.0,828,418,317,105
1044,249,47.0,436,662,266,212
1142,139,47.0,916,505,365,144
1167,1947,47.0,176,861,244,133
1701,1026,47.0,709,824,252,318
1817,957,47.0,687,851,242,328
2037,374,47.0,190,606,227,311
24,1975,48.0,956,625,258,229
107,619,48.0,611,742,335,203
284,1137,48.0,784,501,252,290
992,1322,48.0,600,380,292,230
1274,1206,48.0,600,245,337,238
1311,96,48.0,1006,534,416,151
1678,1274,48.0,1045,801,427,289
1741,501,48.0,856,761,326,282
1938,962,48.0,950,761,374,275
2028,1730,48.0,874,620,338,207
2049,1504,48.0,878,742,338,272
228,800,49.0,482,848,217,56
717,1109,49.0,725,630,215,56
735,890,49.0,182,732,426,150
1237,578,49.0,1011,605,415,190
1542,55,49.0,684,661,240,246
1559,52,49.0,869,576,337,187
1562,435,49.0,827,417,247,310
1575,65,49.0,807,763,300,285
1648,1482,49.0,779,416,251,276
1663,484,49.0,774,488,286,150
1726,773,49.0,824,647,311,229
1940,1724,49.0,1060,809,348,134
1950,1154,49.0,896,591,351,194
118,174,50.0,660,892,335,203
472,1271,50.0,611,743,335,200
498,1349,50.0,902,497,297,187
505,546,50.0,182,738,426,143
710,162,50.0,848,482,369,201
1003,195,50.0,183,732,248,340
1049,259,50.0,606,328,232,331
1176,77,50.0,987,550,404,162
1212,457,50.0,897,404,358,89
1413,34,50.0,1016,595,419,184
1429,622,50.0,875,622,337,211
1443,1426,50.0,601,245,336,238
1464,291,50.0,751,701,273,260
1744,977,50.0,896,592,351,194
1802,1230,50.0,761,433,309,192
1830,506,50.0,702,872,247,341
1912,862,50.0,1024,714,419,246
1962,1416,50.0,1000,738,398,259
2025,1223,50.0,853,473,323,135
887,1624,51.0,1054,804,259,229
913,1554,51.0,792,585,411,234
957,489,51.0,612,678,287,80
1071,878,51.0,655,903,347,203
1189,199,51.0,771,460,286,134
1351,297,51.0,793,517,297,164
1364,1815,51.0,600,330,328,263
1439,67,51.0,707,896,253,351
1481,550,51.0,377,612,424,256
