Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
1111,762,27.0,1210,1106,659,475
1770,1003,36.0,1212,617,765,488
2019,117,36.0,2039,233,509,906
359,39,38.0,525,918,691,531
369,259,38.0,1212,620,565,462
663,194,38.0,390,1226,542,959
1469,740,39.0,1275,1470,818,450
1826,1716,39.0,1356,293,844,468
133,1919,40.0,753,913,830,555
874,398,40.0,1290,1410,601,408
1563,933,40.0,1742,1219,510,629
1191,4,41.0,1464,230,648,295
1197,477,41.0,1572,821,691,532
1381,1829,41.0,691,935,836,615
1880,1094,41.0,749,1168,812,644
1912,1517,41.0,881,558,755,624
1239,1342,42.0,1275,1481,738,435
1671,489,42.0,411,1212,962,534
1861,903,42.0,1642,606,742,429
39,177,43.0,1290,1409,812,644
508,643,43.0,1291,1481,504,958
996,193,43.0,390,1225,545,959
1285,1070,43.0,1310,1467,600,408
1631,1279,43.0,1311,1463,593,582
1661,294,43.0,1371,1336,753,495
1747,237,43.0,1209,1107,540,434
1156,1376,44.0,988,938,558,957
192,1460,45.0,990,940,560,313
317,946,45.0,1352,1439,668,668
961,931,45.0,1276,1472,541,441
971,1326,45.0,546,939,840,498
1347,1493,45.0,1275,1491,595,334
1633,120,45.0,801,1018,877,905
1636,1195,45.0,1682,251,707,309
1924,911,45.0,1351,1448,713,431
1944,1589,45.0,842,1043,852,460
707,650,46.0,389,697,728,388
875,153,46.0,1464,230,674,961
1234,228,46.0,1649,608,744,429
1362,1319,46.0,1742,1222,693,536
1795,337,46.0,800,1018,1006,735
560,444,47.0,1300,1483,763,602
724,532,47.0,826,1402,498,697
740,1656,47.0,505,582,786,627
816,166,47.0,1202,1266,730,388
935,1470,47.0,395,701,946,630
1021,22,47.0,390,615,694,515
1057,1806,47.0,753,945,831,555
1304,1,47.0,385,1158,562,294
1436,1969,47.0,1371,1337,764,484
1489,1501,47.0,751,943,593,583
1527,1467,47.0,423,1215,560,319
1726,1021,47.0,1344,249,711,377
1988,179,47.0,2039,1211,508,645
2014,422,47.0,387,634,596,958
102,189,48.0,427,1408,815,404
510,513,48.0,990,953,964,542
590,840,48.0,482,1372,882,918
599,1699,48.0,407,698,849,672
762,240,48.0,724,548,677,435
1368,295,48.0,721,562,840,496
1510,1349,48.0,1311,1464,601,410
1833,2008,48.0,1353,1442,745,494
1881,721,48.0,1681,251,768,599
1947,679,48.0,749,1168,600,408
291,1521,49.0,924,701,473,788
379,979,49.0,1203,1233,779,469
658,147,49.0,575,701,710,378
832,1861,49.0,968,939,851,424
1184,1629,49.0,1199,1237,618,311
1465,1008,49.0,767,995,638,492
1757,459,49.0,386,1291,535,517
1824,733,49.0,1308,1460,460,868
1876,1756,49.0,2039,1212,545,299
229,1293,50.0,408,1313,947,563
308,1364,50.0,506,581,741,429
559,1924,50.0,967,938,985,606
1005,743,50.0,1683,251,810,937
1350,1164,50.0,1450,1172,852,460
1564,231,50.0,1199,1149,544,430
1968,585,50.0,401,1387,908,959
11,191,51.0,964,955,560,959
61,1844,51.0,1345,1355,946,306
147,1713,51.0,1003,1479,669,669
240,146,51.0,522,969,717,961
320,77,51.0,449,1417,947,562
430,1832,51.0,465,1058,853,612
456,1290,51.0,551,551,779,472
558,151,51.0,964,955,697,961
827,1764,51.0,1344,1342,590,304
923,1418,51.0,773,955,613,301
965,1360,51.0,753,913,458,866
1306,1399,51.0,389,1431,491,956
1332,745,51.0,988,954,866,679
1335,1584,51.0,767,980,668,670
1344,175,51.0,878,391,659,960
1427,1301,51.0,1371,1489,544,427
1575,2123,51.0,773,1373,412,939
1615,311,51.0,1331,249,562,957
1843,834,51.0,537,932,823,964
1846,1192,51.0,800,994,651,309
1859,1305,51.0,812,621,712,378
1869,2046,51.0,385,1311,821,623
1926,406,51.0,1294,1412,889,950
612,982,52.0,550,696,884,471
967,1240,52.0,533,665,594,334
1007,119,52.0,995,1372,1034,820
1014,1283,52.0,989,953,662,672
1067,641,52.0,1107,1476,523,958
1153,1367,52.0,966,938,470,956
1232,278,52.0,399,1217,504,957
1336,118,52.0,774,954,765,605
1486,807,52.0,751,1157,563,354
1513,1542,52.0,736,560,699,421
1562,322,52.0,722,560,573,643
1655,757,52.0,1354,1448,845,467
1660,178,52.0,542,933,595,960
2039,1554,52.0,1122,824,738,427
2045,2006,52.0,785,623,502,910
52,789,53.0,1322,1421,532,731
303,1285,53.0,1352,1480,703,931
312,944,53.0,1342,1408,661,621
528,914,53.0,542,696,540,435
573,702,53.0,563,697,696,420
801,1799,53.0,877,392,876,659
804,139,53.0,437,1241,783,961
979,1366,53.0,553,700,717,422
1120,282,53.0,880,700,897,956
1334,1962,53.0,1199,1149,726,493
1752,1274,53.0,383,943,536,515
1809,152,53.0,1466,230,510,630
1842,595,53.0,961,997,876,906
1993,1793,53.0,387,1311,632,468
43,993,54.0,689,550,763,481
137,1104,54.0,1574,822,891,952
149,1007,54.0,418,1260,973,534
184,1363,54.0,1198,1275,698,420
475,1352,54.0,484,692,714,430
592,2059,54.0,1337,1394,838,613
739,500,54.0,418,1260,973,535
1093,1605,54.0,1276,1490,761,479
1126,725,54.0,1200,1117,587,432
1154,1721,54.0,655,622,776,470
1349,1607,54.0,432,620,672,500
1376,1123,54.0,435,1242,648,958
1590,1593,54.0,1308,355,819,462
1955,304,54.0,960,978,845,392
368,1199,55.0,459,1048,619,311
383,1648,55.0,774,1017,877,937
384,336,55.0,461,1330,643,625
494,1694,55.0,1106,1478,565,319
621,290,55.0,924,702,495,956
673,465,55.0,445,1408,554,298
709,496,55.0,428,1411,707,307
721,1980,55.0,390,1304,711,666
830,1064,55.0,989,939,559,958
1132,346,55.0,612,701,668,381
1277,893,55.0,482,1372,749,428
1495,1650,55.0,900,371,562,294
199,1309,56.0,1329,369,788,641
246,664,56.0,390,1226,462,956
253,2090,56.0,1373,1489,899,584
358,1468,56.0,873,547,616,319
375,28,56.0,881,1474,669,521
537,355,56.0,616,696,488,952
799,719,56.0,414,617,749,428
821,1362,56.0,672,701,598,420
1032,747,56.0,636,697,961,936
1069,1232,56.0,1198,1109,560,522
1192,498,56.0,1104,525,604,308
1195,143,56.0,1683,251,538,624
1237,1880,56.0,1289,1481,944,630
1591,226,56.0,485,630,873,671
1597,1959,56.0,408,630,872,672
1678,531,56.0,386,1311,970,553
1724,354,56.0,898,557,941,412
1781,1208,56.0,1323,257,560,318
1850,2015,56.0,517,621,727,491
