Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
17,120,15.0,691,898,1327,1490
87,166,16.0,694,842,1339,1403
5,131,20.0,699,899,1343,1491
122,184,20.0,477,608,961,997
28,162,22.0,187,873,1329,1438
31,103,23.0,695,900,1335,1490
52,133,23.0,696,852,1341,1419
53,95,23.0,690,866,429,1408
148,198,23.0,670,846,1294,1412
43,155,24.0,695,844,1340,1406
62,141,26.0,691,898,1327,1489
88,137,26.0,685,851,423,1391
97,167,26.0,698,858,1344,1426
129,176,26.0,686,850,1323,1415
15,53,28.0,686,851,424,1392
72,160,28.0,269,605,542,933
64,91,29.0,686,851,423,1391
126,179,31.0,693,842,1338,1403
81,76,32.0,856,576,1342,1418
117,187,32.0,714,897,1368,1484
144,196,34.0,693,842,1337,1401
75,77,36.0,712,827,386,690
65,156,37.0,668,845,1290,1410
25,89,39.0,1011,606,773,955
58,170,39.0,193,875,445,1413
7,106,40.0,692,838,1336,1395
11,66,40.0,699,859,1033,1477
86,178,41.0,193,876,445,1412
108,183,41.0,668,845,1293,1409
32,10,42.0,783,500,428,1409
33,5,42.0,723,636,960,1467
190,36,43.0,478,594,1034,1477
1,85,44.0,691,866,1329,1441
79,22,44.0,784,500,975,1478
158,3,44.0,773,487,774,954
162,19,44.0,759,454,395,700
83,62,45.0,869,582,1033,1423
30,87,47.0,668,845,796,953
46,201,48.0,924,599,537,935
82,203,48.0,182,737,387,1168
154,28,48.0,763,469,1344,1490
182,73,49.0,378,610,907,1468
192,169,49.0,176,863,737,557
102,175,50.0,680,881,1311,1463
161,114,51.0,713,885,812,624
35,147,52.0,214,472,388,639
71,173,53.0,600,245,784,622
128,108,54.0,669,845,521,553
188,20,55.0,693,866,656,623
38,93,56.0,614,826,396,667
186,144,56.0,185,735,632,552
202,63,56.0,688,842,821,666
137,168,57.0,702,867,1354,1448
209,30,57.0,692,864,606,552
34,100,58.0,791,597,687,668
2,193,60.0,180,883,749,1168
210,98,61.0,176,864,1300,1483
169,148,62.0,702,871,425,666
26,195,63.0,859,765,1351,1448
