Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
334,1235,28.0,332,126,778,467
565,1727,29.0,361,127,849,473
1273,2015,29.0,313,142,727,491
463,1973,30.0,376,182,890,582
1000,1728,30.0,363,101,851,426
605,1907,31.0,374,179,887,573
1222,2025,31.0,328,135,767,484
207,1598,33.0,278,132,637,471
900,1962,33.0,311,144,726,493
318,1594,35.0,371,121,877,462
532,1739,35.0,362,120,853,458
631,1593,35.0,349,122,819,462
836,2069,35.0,376,179,892,573
923,1854,35.0,357,124,839,466
927,1716,35.0,324,134,844,468
935,1712,35.0,351,122,824,463
307,1806,37.0,353,171,831,555
626,1864,37.0,371,121,875,463
1208,2008,37.0,320,142,745,494
342,1455,38.0,396,173,946,564
920,1969,38.0,328,135,764,484
1057,512,38.0,217,56,643,625
936,1719,39.0,248,131,562,463
986,1675,39.0,331,128,722,495
203,1968,40.0,350,123,788,639
544,1600,40.0,373,125,881,471
619,363,40.0,335,203,727,390
686,1919,40.0,353,172,830,555
1063,1966,40.0,305,140,705,487
1109,241,40.0,215,56,872,677
1583,5,40.0,247,303,651,504
219,1331,41.0,275,124,636,454
282,1312,41.0,304,168,696,543
704,1329,41.0,312,144,719,498
766,979,41.0,246,326,779,469
771,1801,41.0,305,142,704,490
335,1464,42.0,305,141,705,489
512,109,42.0,232,331,979,598
540,1566,42.0,305,107,674,433
608,1930,42.0,298,163,678,532
685,213,42.0,251,301,696,420
691,1822,42.0,365,144,861,505
714,233,42.0,347,203,662,430
733,847,42.0,330,125,719,422
831,2100,42.0,374,183,889,584
1228,2113,42.0,280,133,656,505
1230,2030,42.0,309,192,641,484
15,1611,43.0,399,160,954,539
154,1589,43.0,363,119,852,460
537,1663,43.0,278,121,644,450
794,1228,43.0,332,232,790,626
844,1737,43.0,317,235,809,644
1003,1096,43.0,330,236,697,420
1024,1947,43.0,274,124,633,454
1110,586,43.0,256,63,881,959
1223,2049,43.0,323,135,778,469
264,762,44.0,276,232,659,475
421,217,44.0,330,125,719,422
854,1051,44.0,251,310,559,520
925,1460,44.0,400,265,560,313
1591,1094,44.0,266,296,812,644
1704,295,44.0,269,127,840,496
186,1731,45.0,284,121,654,475
201,911,45.0,325,133,713,431
224,1603,45.0,361,128,850,475
462,1448,45.0,325,233,809,645
535,1433,45.0,428,178,904,419
656,1802,45.0,275,124,635,453
1135,1875,45.0,280,119,645,451
161,254,46.0,352,201,641,453
179,1318,46.0,285,81,672,385
317,1015,46.0,385,206,788,494
452,1576,46.0,284,134,655,450
858,902,46.0,347,243,580,315
1327,1097,46.0,278,266,667,516
1351,1991,46.0,266,109,875,663
1410,2033,46.0,301,158,692,534
40,1803,47.0,424,93,821,622
339,810,47.0,329,75,1045,834
1034,1793,47.0,274,131,632,468
1140,255,47.0,266,211,637,456
1181,1680,47.0,294,197,853,473
1243,1233,47.0,332,128,755,624
1340,2054,47.0,282,105,631,469
1508,2088,47.0,288,108,666,430
1540,501,47.0,361,226,965,538
1641,1960,47.0,323,279,746,496
1728,193,47.0,356,209,545,959
34,569,48.0,419,184,653,961
97,251,48.0,252,310,818,450
259,1555,48.0,232,331,746,427
283,26,48.0,419,290,647,302
701,1832,48.0,308,209,853,612
1138,940,48.0,306,102,537,625
1180,725,48.0,301,102,587,432
1368,180,48.0,422,145,533,645
1392,2078,48.0,280,120,645,448
1501,1352,48.0,367,191,714,430
1947,1666,48.0,244,133,550,301
72,910,49.0,417,153,618,321
139,1624,49.0,365,144,861,506
217,1592,49.0,248,130,562,462
454,989,49.0,276,233,658,475
542,229,49.0,316,104,748,429
845,2056,49.0,353,171,831,555
926,54,49.0,243,334,973,535
979,442,49.0,265,212,905,960
1233,1882,49.0,247,130,561,463
1295,1965,49.0,276,114,633,490
1393,1928,49.0,338,162,976,532
1482,1652,49.0,251,276,766,602
1499,1485,49.0,265,212,1020,753
1548,175,49.0,267,126,659,960
94,1584,50.0,452,307,668,670
120,96,50.0,413,195,1059,769
267,1092,50.0,429,178,906,419
329,440,50.0,252,215,486,948
340,992,50.0,300,43,969,552
345,1007,50.0,240,347,973,534
429,773,50.0,381,205,991,486
528,394,50.0,262,215,816,392
669,1524,50.0,308,214,1018,738
834,621,50.0,372,229,824,958
852,654,50.0,324,243,884,956
969,1983,50.0,289,105,648,445
1018,845,50.0,156,220,816,392
1144,1711,50.0,270,271,510,903
1163,65,50.0,346,202,696,545
1179,1442,50.0,434,249,589,305
1253,1546,50.0,330,124,717,423
1296,1252,50.0,320,223,693,517
1603,1309,50.0,154,216,788,641
1616,1211,50.0,274,284,823,463
1632,1571,50.0,411,162,560,523
1633,1590,50.0,421,97,535,514
1794,194,50.0,358,209,542,959
1940,145,50.0,272,125,733,961
18,631,51.0,344,159,691,958
92,23,51.0,254,307,667,517
152,629,51.0,391,199,710,378
245,1605,51.0,289,235,761,479
364,2048,51.0,423,180,810,405
450,1722,51.0,418,252,881,470
575,77,51.0,408,190,947,562
621,200,51.0,373,248,852,411
633,1362,51.0,258,106,598,420
769,942,51.0,268,40,755,624
890,840,51.0,426,150,882,918
892,1525,51.0,251,281,873,906
913,1676,51.0,281,140,667,513
977,807,51.0,351,194,563,354
1009,830,51.0,337,212,552,325
1055,1029,51.0,246,327,719,498
1152,1981,51.0,351,116,821,451
1209,37,51.0,375,178,680,529
1290,149,51.0,244,313,674,379
1293,195,51.0,416,256,968,658
1316,1950,51.0,387,261,720,681
1536,787,51.0,344,224,1008,746
1630,64,51.0,371,229,964,542
1639,320,51.0,363,100,494,961
1904,2124,51.0,421,188,817,494
35,471,52.0,256,36,703,931
138,958,52.0,278,145,636,455
286,1560,52.0,300,102,664,429
428,248,52.0,289,205,542,441
478,990,52.0,442,347,760,477
492,1939,52.0,300,161,687,526
672,159,52.0,352,202,664,385
702,2097,52.0,272,102,846,416
943,164,52.0,426,289,795,960
1025,1796,52.0,276,112,642,435
1056,1632,52.0,331,223,614,579
1197,925,52.0,328,219,615,327
1199,1554,52.0,432,216,738,427
1453,1829,52.0,431,243,836,615
1531,2067,52.0,243,317,724,681
1705,2005,52.0,328,127,942,631
1712,1977,52.0,433,259,654,475
1902,257,52.0,134,215,852,461
7,1346,53.0,305,107,676,434
195,1265,53.0,248,340,810,645
326,63,53.0,285,265,883,952
445,1075,53.0,238,32,881,956
602,868,53.0,419,289,647,301
703,1070,53.0,241,239,600,408
866,325,53.0,248,282,1020,753
