Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
729,1823,41.0,348,445,684,630
770,1492,41.0,510,895,1033,1476
933,1814,41.0,269,603,543,932
968,1225,41.0,690,865,429,1408
1055,1748,41.0,521,893,1053,1473
1084,1743,41.0,795,706,1533,1170
1144,1854,41.0,695,852,1341,1418
1255,1966,41.0,392,619,799,996
139,912,42.0,542,893,1034,1477
190,1687,42.0,375,408,737,557
225,1250,42.0,658,831,1275,1389
303,844,42.0,703,866,1352,1440
354,1270,42.0,476,897,975,1477
543,1620,42.0,382,598,774,951
589,1524,42.0,490,582,966,939
630,1353,42.0,695,900,1334,1491
861,1561,42.0,694,900,1333,1491
878,1387,42.0,685,851,1321,1418
890,1725,42.0,658,824,1277,1376
1715,949,42.0,677,654,1309,1467
61,1404,43.0,463,387,921,552
74,997,43.0,716,888,1372,1472
192,1535,43.0,354,444,697,630
254,1242,43.0,432,645,880,1054
302,1037,43.0,690,866,1322,1418
346,1440,43.0,226,476,417,651
347,1527,43.0,197,762,423,1215
352,1570,43.0,385,439,761,632
497,1645,43.0,394,619,801,995
549,1672,43.0,348,462,687,664
649,1700,43.0,257,482,485,672
735,1847,43.0,182,732,385,1159
766,1922,43.0,419,400,827,558
900,1658,43.0,603,298,1277,1468
948,1179,43.0,698,858,441,1400
963,1871,43.0,600,312,591,624
972,1882,43.0,393,609,800,976
1160,1996,43.0,382,669,785,1086
1238,1715,43.0,710,826,1371,1376
1306,379,43.0,612,824,1203,1233
1335,1992,43.0,435,662,892,1086
1444,1939,43.0,794,705,1530,1168
23,1824,44.0,1057,879,1308,1460
33,1414,44.0,306,450,591,624
75,621,44.0,599,245,924,702
409,1410,44.0,485,382,966,552
505,1896,44.0,182,738,385,1168
566,1539,44.0,696,811,1342,1354
610,1457,44.0,659,832,1275,1389
648,806,44.0,610,390,575,538
703,1659,44.0,338,448,662,630
836,1413,44.0,711,827,1371,1379
856,1624,44.0,675,893,1304,1481
874,1394,44.0,711,834,1371,1389
978,1014,44.0,685,649,989,953
1492,1801,44.0,711,825,1368,1377
226,1267,45.0,510,896,1033,1477
361,1502,45.0,302,613,520,960
531,612,45.0,604,257,550,696
936,1637,45.0,190,854,433,1379
1083,1415,45.0,680,707,388,639
1125,1874,45.0,412,451,821,666
1141,1812,45.0,190,866,436,1394
1167,1876,45.0,176,861,2039,1212
1179,1590,45.0,781,662,1308,355
1221,1798,45.0,190,855,430,1377
1529,979,45.0,912,460,553,700
1538,96,45.0,435,661,1107,1478
4,1424,46.0,412,451,819,666
177,934,46.0,444,851,916,1401
467,1465,46.0,376,620,767,995
491,1799,46.0,257,434,475,567
628,1355,46.0,700,900,1343,1491
813,1588,46.0,542,857,1087,1425
965,1707,46.0,494,562,801,913
1035,1692,46.0,1035,907,1291,1408
1182,1813,46.0,714,897,1368,1484
1399,1852,46.0,180,881,415,1421
1553,2041,46.0,388,591,788,939
41,816,47.0,612,796,1202,1266
141,1258,47.0,553,893,1106,1477
274,1745,47.0,303,418,580,550
326,1332,47.0,491,583,988,954
436,995,47.0,366,838,773,1372
501,1292,47.0,696,852,1341,1419
750,1879,47.0,600,352,755,624
977,2015,47.0,256,433,477,566
1239,1989,47.0,368,594,749,942
1258,1918,47.0,994,745,1911,1206
1259,1674,47.0,698,857,1344,1426
1563,2039,47.0,834,417,1122,824
1575,2038,47.0,807,763,1544,1265
1642,739,47.0,682,878,418,1260
1742,996,47.0,784,687,390,1225
1887,1833,47.0,836,487,1353,1442
1894,1166,47.0,842,472,515,667
128,1323,48.0,439,852,907,1401
138,1519,48.0,379,578,767,914
167,1381,48.0,341,595,691,935
210,1578,48.0,360,443,709,630
319,1297,48.0,542,857,1087,1424
445,1534,48.0,413,641,842,1043
484,1545,48.0,190,854,431,1375
499,482,48.0,521,894,907,1402
555,1566,48.0,425,852,881,1402
818,39,48.0,444,647,1290,1409
869,1609,48.0,180,881,416,1423
964,1778,48.0,387,458,770,672
1000,1776,48.0,755,756,1456,1262
1198,528,48.0,727,601,542,696
1299,2025,48.0,480,492,964,778
1325,1952,48.0,266,479,509,670
47,1633,49.0,189,682,801,1018
132,748,49.0,613,653,1212,620
162,917,49.0,695,900,1335,1490
250,1475,49.0,271,604,543,931
475,1723,49.0,379,630,774,1013
518,1902,49.0,782,664,511,636
546,1550,49.0,439,852,906,1402
581,1894,49.0,289,476,561,672
685,1573,49.0,553,893,1105,1476
1311,596,49.0,1006,534,614,970
65,541,50.0,762,472,1345,1342
164,1070,50.0,691,900,1328,1490
165,1175,50.0,658,825,1275,1381
214,709,50.0,814,575,428,1411
222,1694,50.0,328,413,635,552
324,1126,50.0,607,660,1200,1117
523,1612,50.0,809,746,1553,1237
537,1797,50.0,174,806,385,941
538,1607,50.0,409,431,814,622
541,1851,50.0,301,413,573,540
564,1727,50.0,378,461,749,672
652,663,50.0,878,527,390,1226
1156,1870,50.0,194,874,445,1412
1158,2012,50.0,270,603,541,932
1309,1010,50.0,605,793,588,582
1322,1931,50.0,226,475,416,652
1419,1951,50.0,191,867,434,1397
1624,599,50.0,709,836,407,698
1655,1178,50.0,853,637,448,650
1844,1362,50.0,788,582,1742,1222
55,1770,51.0,849,482,1212,617
64,886,51.0,713,834,1372,1390
114,1392,51.0,415,396,819,552
196,1165,51.0,347,606,520,959
202,913,51.0,521,895,1053,1477
232,1005,51.0,832,260,1683,251
239,740,51.0,605,299,505,582
257,968,51.0,422,838,876,1380
292,1447,51.0,175,860,400,1385
298,1213,51.0,376,621,767,995
592,1471,51.0,479,583,987,937
617,1278,51.0,608,350,1211,539
633,1249,51.0,616,883,1208,1469
839,13,51.0,612,654,422,1391
1119,165,51.0,539,297,391,1304
1321,1908,51.0,475,565,961,914
1494,1069,51.0,701,438,1198,1109
1544,932,51.0,780,653,396,665
107,1449,52.0,611,742,651,666
206,1400,52.0,753,437,773,952
312,1300,52.0,682,815,1318,1363
318,32,52.0,773,459,1327,1440
448,1703,52.0,257,427,475,552
507,1818,52.0,797,514,923,552
559,1525,52.0,191,864,435,1393
596,626,52.0,600,382,822,701
696,1724,52.0,451,392,898,557
895,1803,52.0,223,468,406,630
898,1845,52.0,215,472,388,636
940,2013,52.0,370,580,749,917
1123,1575,52.0,367,840,773,1373
1267,592,52.0,740,558,1337,1394
1420,804,52.0,943,707,437,1241
1843,1344,52.0,782,687,878,391
1870,659,52.0,1027,591,614,959
1910,1470,52.0,1024,654,386,1157
1984,7,52.0,684,874,595,670
2019,1956,52.0,699,301,1466,229
521,175,53.0,833,260,480,701
632,1195,53.0,755,557,1683,251
676,498,53.0,684,619,1352,1492
682,1630,53.0,596,922,445,1413
784,1039,53.0,414,396,667,697
906,1662,53.0,658,796,1277,1336
916,1905,53.0,266,480,511,672
971,1209,53.0,714,894,1369,1483
989,1756,53.0,387,907,821,1483
1043,91,53.0,611,795,616,695
1177,1887,53.0,187,873,430,1406
1273,1830,53.0,211,498,385,690
1314,1729,53.0,695,900,1336,1491
1371,1597,53.0,499,511,408,630
1379,1738,53.0,608,351,1209,537
1640,1541,53.0,597,928,829,560
1730,308,53.0,806,528,506,581
1744,1853,53.0,896,592,385,1063
2042,1334,53.0,856,462,1199,1149
203,1351,54.0,676,899,1301,1491
432,1532,54.0,303,414,579,545
576,1040,54.0,226,476,926,1372
684,1608,54.0,386,402,761,550
992,658,54.0,600,380,575,701
1302,1927,54.0,311,416,595,552
1315,1850,54.0,612,729,517,621
1389,1393,54.0,779,594,550,552
1545,1763,54.0,610,388,654,625
1602,1261,54.0,282,539,629,626
1704,1598,54.0,806,413,518,622
1953,1312,54.0,1061,810,384,914
1961,1764,54.0,383,505,781,557
1,1298,55.0,553,856,1106,1424
40,1398,55.0,348,462,686,666
103,493,55.0,761,422,1309,1468
290,1176,55.0,409,663,838,1082
558,1603,55.0,215,473,388,637
572,1859,55.0,601,389,812,621
654,1540,55.0,424,893,881,1466
808,985,55.0,678,652,415,616
853,1582,55.0,782,500,1211,539
966,1622,55.0,192,865,438,1396
1132,1027,55.0,612,739,527,582
1207,1734,55.0,707,895,1369,1481
1233,588,55.0,1006,539,1300,1490
1337,1007,55.0,244,600,995,1372
1360,1930,55.0,204,746,437,1186
1466,1781,55.0,917,506,1323,257
1503,809,55.0,832,647,449,648
1558,2033,55.0,340,591,692,928
1736,1726,55.0,771,411,1344,249
1747,1656,55.0,500,510,535,933
1982,560,55.0,480,591,1300,1483
1983,783,55.0,788,580,767,913
49,981,56.0,557,822,1112,1372
73,1403,56.0,396,433,784,622
98,1476,56.0,379,631,773,1014
187,1456,56.0,331,465,688,552
208,1348,56.0,669,899,1291,1491
345,22,56.0,543,491,521,959
388,1758,56.0,377,461,562,674
397,1505,56.0,370,438,730,624
697,1673,56.0,398,454,791,664
732,1825,56.0,671,667,385,994
751,1074,56.0,613,694,730,700
783,1916,56.0,294,456,567,627
882,1329,56.0,897,596,769,1059
931,1736,56.0,750,701,1451,1170
991,1757,56.0,906,278,386,1291
1078,1591,56.0,671,667,485,630
1091,479,56.0,380,629,1356,1452
1280,40,56.0,596,225,416,1305
1456,950,56.0,610,230,688,697
1650,1888,56.0,789,595,899,555
1694,939,56.0,779,654,608,552
1755,69,56.0,931,699,1309,1467
1814,1655,56.0,358,717,1354,1448
1868,1719,56.0,776,409,403,659
1950,890,56.0,896,591,825,1467
2028,1021,56.0,874,620,390,615
2037,1032,56.0,190,606,636,697
21,817,57.0,985,549,461,1363
279,841,57.0,660,814,1280,1364
369,182,57.0,599,223,545,627
394,661,57.0,379,406,474,1058
433,1441,57.0,901,389,1464,230
681,1246,57.0,595,223,411,1211
722,1445,57.0,666,595,579,558
917,2023,57.0,943,708,792,950
1111,1075,57.0,403,402,396,690
1201,443,57.0,902,498,388,1363
1243,510,57.0,831,261,990,953
1320,229,57.0,311,589,408,1313
1329,1998,57.0,778,358,1548,491
1431,1657,57.0,713,885,1371,1468
1481,269,57.0,377,612,612,960
1524,860,57.0,713,898,423,1215
1666,1277,57.0,709,801,482,1372
1677,398,57.0,212,498,1372,1389
1923,1975,57.0,982,284,960,917
1942,657,57.0,911,460,632,565
2002,889,57.0,480,570,707,969
77,971,58.0,391,589,546,939
84,1530,58.0,315,472,616,674
89,766,58.0,338,448,458,1049
251,1293,58.0,511,860,1033,1424
280,1103,58.0,405,908,852,1488
332,1695,58.0,792,585,386,1157
884,1704,58.0,187,873,430,1406
1187,359,58.0,880,525,525,918
1308,447,58.0,658,797,1196,584
1316,1680,58.0,698,899,1341,1488
1507,636,58.0,1051,717,1372,1472
1898,935,58.0,681,896,395,701
1999,984,58.0,967,749,688,665
51,1537,59.0,257,483,485,674
91,1420,59.0,596,921,448,1416
144,1233,59.0,689,893,1325,1481
153,1065,59.0,615,825,1208,1382
172,796,59.0,897,406,461,1331
193,1169,59.0,345,591,1287,1375
194,1289,59.0,408,895,855,1467
410,936,59.0,442,893,916,1467
614,86,59.0,668,899,466,627
621,1526,59.0,510,860,1033,1425
671,1128,59.0,605,768,546,700
678,545,59.0,367,408,466,1049
715,54,59.0,86,126,734,695
741,43,59.0,779,653,689,550
809,527,59.0,214,431,1320,1363
923,1422,59.0,690,899,1327,1489
1007,1064,59.0,210,498,1197,492
1122,2021,59.0,213,490,398,674
1331,1513,59.0,795,404,736,560
1521,1354,59.0,856,574,385,1172
1536,701,59.0,666,591,620,920
1583,429,59.0,923,715,673,692
295,44,60.0,837,620,843,701
600,1518,60.0,305,594,618,923
700,1832,60.0,764,593,1356,287
747,12,60.0,854,368,1331,1342
767,2020,60.0,598,223,953,337
768,1562,60.0,412,401,722,560
880,1682,60.0,233,475,729,560
904,136,60.0,1021,768,438,1241
944,794,60.0,858,765,872,547
984,384,60.0,985,540,461,1330
1069,471,60.0,696,811,1334,1490
1289,1184,60.0,679,696,1199,1237
1504,1232,60.0,392,620,399,1217
1609,184,60.0,823,682,1198,1275
1613,1536,60.0,288,539,415,1259
1719,1683,60.0,1058,806,557,560
1802,1482,60.0,761,433,404,659
1810,321,60.0,690,866,466,621
1941,899,60.0,926,594,418,1260
1948,1192,60.0,853,638,1104,525
1972,222,60.0,186,735,707,959
1980,1052,60.0,663,896,802,675
149,1444,61.0,293,424,556,560
183,1006,61.0,715,894,1369,1482
268,546,61.0,605,341,734,696
305,1494,61.0,297,475,574,674
460,324,61.0,473,506,544,581
753,1522,61.0,569,353,628,674
771,1993,61.0,672,688,387,1311
927,1236,61.0,868,582,1002,560
943,842,61.0,599,926,387,641
1236,1829,61.0,779,653,1353,1448
1274,1816,61.0,600,245,857,552
1610,167,61.0,782,417,401,1260
1717,1732,61.0,610,654,1316,274
1785,669,61.0,913,505,461,1445
1786,336,61.0,607,667,430,1058
1817,25,61.0,687,851,757,622
1900,414,61.0,627,929,1650,608
2022,973,61.0,724,387,648,700
26,1768,62.0,600,382,602,630
240,241,62.0,603,299,1201,1220
299,1507,62.0,388,459,769,674
336,1957,62.0,609,873,770,670
551,937,62.0,791,596,425,665
864,1793,62.0,762,471,633,552
