Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
97,1962,16.0,252,310,1369,1340
192,1976,18.0,253,276,1376,1222
205,1941,22.0,252,325,1369,1394
223,1974,23.0,302,278,1552,1240
65,2038,24.0,300,285,1544,1265
157,1925,27.0,252,320,1369,1376
115,2036,33.0,296,284,1534,1261
204,1704,35.0,242,339,430,1406
111,1959,36.0,333,284,1663,1265
158,1973,36.0,307,280,1569,1247
277,1939,37.0,295,258,1530,1168
615,2022,37.0,244,313,1340,1351
421,599,38.0,330,125,407,698
714,733,39.0,347,203,760,698
68,1806,40.0,250,351,1356,1484
108,1981,40.0,354,268,1745,1218
149,2019,40.0,442,347,2039,233
135,2007,41.0,246,53,1387,398
840,740,42.0,325,232,505,582
1374,700,42.0,230,304,522,970
1683,1826,42.0,433,249,1356,293
576,1960,43.0,275,287,1455,1265
1040,1591,43.0,330,228,485,630
1918,340,43.0,251,111,615,970
67,1813,44.0,253,351,1368,1484
400,69,44.0,238,240,1309,1467
497,739,44.0,238,344,418,1260
1591,145,44.0,266,296,753,945
1085,1334,45.0,343,196,1199,1149
1138,420,45.0,306,102,391,641
1196,824,45.0,363,100,498,935
1232,906,45.0,366,192,657,622
180,712,46.0,347,203,385,702
703,280,46.0,241,239,1337,1395
1071,528,46.0,251,301,542,696
1921,111,46.0,265,265,386,689
264,1436,47.0,276,232,1371,1337
314,721,47.0,236,237,390,1304
317,1026,47.0,385,206,963,955
462,1590,47.0,325,233,1308,355
494,612,47.0,252,346,550,696
602,1344,47.0,419,289,878,391
720,1795,47.0,452,306,800,1018
843,1347,47.0,288,235,1275,1491
852,1859,47.0,324,243,812,621
1109,1489,47.0,215,56,751,943
1221,935,47.0,361,226,395,701
1970,1968,47.0,247,150,401,1387
23,1918,48.0,400,264,1911,1206
110,1979,48.0,360,268,1767,1218
165,1817,48.0,253,346,1368,1466
595,348,48.0,360,244,473,540
750,1881,48.0,419,343,1681,251
826,1255,48.0,429,183,1356,1452
1057,129,48.0,217,56,1342,1418
1171,1461,48.0,422,95,854,1402
196,479,49.0,432,217,1356,1452
259,1926,49.0,232,331,1294,1412
299,1861,49.0,317,105,1642,606
