x,y,size,angle,response,octave,class_id
685.0,595.0,50.0,37.968997955322266,0.000965918181464076,0,-1
615.0,825.0,50.0,107.55438232421875,0.0010704683372750878,0,-1
724.0,899.0,50.0,203.19590759277344,0.0007250146009027958,0,-1
182.0,890.0,50.0,107.18805694580078,0.0007956210756674409,0,-1
608.0,825.0,50.0,82.33594512939453,0.0009440434514544904,0,-1
371.0,580.0,50.0,108.13981628417969,0.0012202754151076078,0,-1
828.0,420.0,50.0,192.717041015625,0.0014366843970492482,0,-1
715.0,894.0,50.0,217.43374633789062,0.003088822355493903,0,-1
700.0,894.0,50.0,271.760498046875,0.003242931794375181,0,-1
680.0,579.0,50.0,38.02592086791992,0.0008381866500712931,0,-1
375.0,408.0,50.0,100.83037567138672,0.0009014522656798363,0,-1
478.0,607.0,50.0,114.29216003417969,0.002490447834134102,0,-1
605.0,299.0,50.0,254.085205078125,0.0008496312075294554,0,-1
476.0,607.0,50.0,120.42346954345703,0.0015119044110178947,0,-1
192.0,863.0,50.0,331.0947570800781,0.0008911574259400368,0,-1
327.0,717.0,50.0,218.90463256835938,0.0010001894552260637,0,-1
684.0,898.0,50.0,267.02392578125,0.0027887551113963127,0,-1
409.0,663.0,50.0,83.73702239990234,0.000670426117721945,0,-1
185.0,864.0,50.0,285.08978271484375,0.0007457925239577889,0,-1
770.0,488.0,50.0,318.9168701171875,0.0014946453738957644,0,-1
683.0,823.0,50.0,291.173583984375,0.0007557623903267086,0,-1
686.0,598.0,50.0,47.080833435058594,0.001303985482081771,0,-1
379.0,578.0,50.0,42.13280487060547,0.00106728111859411,0,-1
660.0,899.0,50.0,316.5907287597656,0.0021988311782479286,0,-1
669.0,899.0,50.0,298.2736511230469,0.0013309988426044583,0,-1
675.0,899.0,50.0,278.29754638671875,0.0012990975519642234,0,-1
353.0,589.0,50.0,63.26720428466797,0.0008076127851381898,0,-1
391.0,589.0,50.0,356.61328125,0.000988744548521936,0,-1
711.0,801.0,50.0,163.17303466796875,0.002069011563435197,0,-1
688.0,585.0,50.0,45.5918083190918,0.0008539846749044955,0,-1
353.0,465.0,50.0,259.6800231933594,0.0006824348238296807,0,-1
691.0,900.0,50.0,281.7391662597656,0.0036665513180196285,0,-1
695.0,900.0,50.0,278.0431823730469,0.0031483315397053957,0,-1
700.0,900.0,50.0,266.8157958984375,0.0033032535575330257,0,-1
1022.0,769.0,50.0,347.3456115722656,0.0010771560482680798,0,-1
705.0,893.0,50.0,248.02047729492188,0.0036894241347908974,0,-1
689.0,893.0,50.0,281.4056396484375,0.002810143632814288,0,-1
706.0,900.0,50.0,254.08963012695312,0.003116799285635352,0,-1
716.0,900.0,50.0,227.53445434570312,0.003951946273446083,0,-1
675.0,893.0,50.0,275.9560241699219,0.002699023811146617,0,-1
792.0,585.0,50.0,42.221534729003906,0.0011968975886702538,0,-1
357.0,585.0,50.0,71.84440612792969,0.0010619108797982335,0,-1
719.0,904.0,50.0,210.80284118652344,0.003017534501850605,0,-1
744.0,589.0,50.0,224.32815551757812,0.0007225365261547267,0,-1
796.0,514.0,50.0,318.58251953125,0.0010762064484879375,0,-1
696.0,586.0,50.0,97.09982299804688,0.002393480623140931,0,-1
491.0,583.0,50.0,36.93657684326172,0.0006605456583201885,0,-1
479.0,583.0,50.0,162.713623046875,0.0008461131947115064,0,-1
669.0,892.0,50.0,303.21490478515625,0.0014622691087424755,0,-1
870.0,582.0,50.0,129.67852783203125,0.0012138134334236383,0,-1
393.0,632.0,50.0,74.20690155029297,0.0013479097979143262,0,-1
604.0,340.0,50.0,118.22203063964844,0.001019673771224916,0,-1
